lambda,t,N
1.681256e+00,3.144431e-01,5.893946e-01
1.271699e+00,9.546724e-01,2.969903e-01
8.543688e-01,2.113502e+00,1.643577e-01
2.119711e-01,4.694152e-01,9.052877e-01
1.336502e+00,3.749250e-01,6.058712e-01
1.445852e+00,9.460818e-01,2.546425e-01
5.441894e-01,1.489698e-01,9.221312e-01
3.403215e-01,7.669435e-01,7.702752e-01
5.849348e-01,2.176717e+00,2.799239e-01
1.430670e+00,3.503906e-01,6.057466e-01
8.431916e-01,2.712566e+00,1.015491e-01
1.381530e+00,1.984813e+00,6.443621e-02
1.677171e+00,1.360767e+00,1.020556e-01
1.877499e+00,1.791901e+00,3.458651e-02
1.679754e+00,4.486571e-01,4.706534e-01
1.492842e+00,8.563608e-02,8.799932e-01
1.848180e+00,2.780699e+00,5.862184e-03
1.606457e+00,1.566473e-01,7.775191e-01
7.781054e-01,8.073165e-01,5.335635e-01
1.619005e+00,2.450909e+00,1.891059e-02
1.166801e+00,2.061124e+00,9.027271e-02
3.822037e-01,2.652586e+00,3.628273e-01
1.556428e+00,2.282896e+00,2.863393e-02
1.662900e+00,1.515177e+00,8.049271e-02
9.120178e-01,1.975080e+00,1.650829e-01
7.434616e-01,2.137568e-02,9.842336e-01
3.780289e-01,1.736620e+00,5.186674e-01
1.131626e+00,2.993984e+00,3.377383e-02
1.864235e-01,2.266275e+00,6.554148e-01
5.139758e-01,8.241254e-01,6.546984e-01
2.772946e-01,3.600591e-01,9.049800e-01
4.750769e-01,4.250957e-01,8.171332e-01
1.844249e-01,2.302162e+00,6.540470e-01
5.761703e-01,9.309427e-01,5.848607e-01
1.857904e+00,1.201180e-01,7.999807e-01
2.127808e-01,2.004168e+00,6.528234e-01
1.638298e+00,6.960727e-01,3.196992e-01
1.616112e+00,1.906452e+00,4.591152e-02
1.224250e+00,2.752274e+00,3.440783e-02
1.042006e+00,2.621922e+00,6.508523e-02
4.631236e-01,4.088809e-02,9.812419e-01
1.535660e+00,2.252430e+00,3.146227e-02
1.407175e-01,1.103034e+00,8.562300e-01
1.084710e+00,1.159103e+00,2.844236e-01
4.517413e-01,1.358706e-01,9.404673e-01
1.920482e+00,8.605930e-01,1.915219e-01
1.237396e+00,1.194917e+00,2.279599e-01
1.119244e+00,1.059776e+00,3.053953e-01
9.204724e-01,1.953213e+00,1.656499e-01
8.965014e-01,7.138656e-01,5.273022e-01
1.398280e+00,9.034760e-01,2.827159e-01
1.078168e+00,7.723991e-01,4.348405e-01
6.896106e-01,1.764040e+00,2.962651e-01
1.848305e+00,9.886136e-01,1.608538e-01
1.335792e+00,6.110419e-01,4.420975e-01
6.555109e-01,1.765193e+00,3.143955e-01
1.485090e+00,2.921973e+00,1.304443e-02
1.313747e+00,1.233818e+00,1.977157e-01
1.549397e+00,1.649688e+00,7.761289e-02
3.529216e-01,9.881675e-01,7.055726e-01
1.021674e-01,2.655673e+00,7.623700e-01
1.817536e+00,1.485617e+00,6.719461e-02
4.966390e-01,1.268824e+00,5.325133e-01
1.679242e-01,1.042804e+00,8.393630e-01
6.102688e-01,2.312579e+00,2.438274e-01
1.869894e+00,1.742254e+00,3.847179e-02
1.923457e+00,2.107884e+00,1.734545e-02
1.368020e+00,1.508503e+00,1.269879e-01
1.464544e+00,1.725848e+00,7.985191e-02
2.260651e-01,2.685803e+00,5.448928e-01
1.370463e+00,1.139776e+00,2.097120e-01
5.349606e-01,1.412823e+00,4.696325e-01
2.182842e-01,2.248300e+00,6.121558e-01
1.000450e+00,2.117159e+00,1.202586e-01
1.030585e+00,9.559493e-01,3.733695e-01
1.941012e+00,1.992597e+00,2.090734e-02
1.164821e+00,1.525287e-01,8.372198e-01
1.945116e+00,2.902041e+00,3.535837e-03
1.967008e+00,2.027613e+00,1.853063e-02
3.888236e-01,8.738306e-01,7.119369e-01
3.474662e-01,2.996605e+00,3.530240e-01
4.563001e-01,1.680754e+00,4.644375e-01
1.307033e-01,1.250193e-01,9.837923e-01
1.859829e+00,1.173073e-01,8.039875e-01
1.350317e+00,1.947028e+00,7.214298e-02
1.827066e+00,1.232028e+00,1.052942e-01
3.280919e-01,3.379297e-01,8.950533e-01
7.704788e-01,2.834432e+00,1.126049e-01
4.286074e-01,1.566693e+00,5.109436e-01
1.300335e+00,1.092525e+00,2.415574e-01
8.295274e-01,7.475254e-01,5.378945e-01
6.912718e-01,2.726418e-01,8.282257e-01
1.314722e+00,1.649689e-01,8.050199e-01
9.390968e-01,1.515589e+00,2.409213e-01
1.546148e+00,2.088692e+00,3.958019e-02
7.305260e-01,1.874209e-02,9.864017e-01
1.568876e+00,2.127557e+00,3.551241e-02
2.047047e-01,1.134785e+00,7.927115e-01
3.430222e-01,2.673861e+00,3.996390e-01
2.169098e-01,6.660638e-01,8.654759e-01
5.387768e-01,1.372537e+00,4.773569e-01
6.975416e-01,2.827673e+00,1.391198e-01
1.533383e+00,3.139573e-04,9.995187e-01
1.216458e+00,1.834791e+00,1.073194e-01
4.653801e-01,2.667868e+00,2.889295e-01
3.123733e-01,5.045689e-02,9.843622e-01
4.480973e-01,6.002722e-01,7.641583e-01
3.565175e-01,1.554487e+00,5.745306e-01
1.898606e+00,1.729145e+00,3.751689e-02
1.849832e+00,2.054925e+00,2.234247e-02
1.627572e+00,2.346238e+00,2.195693e-02
1.468290e-01,1.921130e+00,7.542152e-01
1.486731e+00,1.750926e+00,7.403954e-02
8.133676e-01,2.142522e+00,1.750545e-01
1.957681e+00,2.051418e+00,1.802452e-02
1.679134e+00,1.677966e+00,5.975337e-02
1.991267e+00,1.080505e+00,1.163010e-01
5.532110e-01,2.819526e+00,2.101796e-01
1.821781e+00,2.176132e+00,1.897875e-02
7.391182e-01,1.125342e-01,9.201891e-01
3.664771e-01,1.212879e+00,6.411497e-01
1.978495e+00,2.701076e+00,4.776411e-03
6.896432e-01,1.096792e+00,4.693554e-01
1.964744e+00,2.685414e+00,5.112076e-03
1.985630e+00,2.511326e+00,6.829088e-03
3.160270e-01,2.002436e+00,5.310899e-01
1.487487e+00,2.163604e+00,4.002174e-02
7.037566e-01,2.083068e+00,2.308532e-01
1.115065e+00,2.300554e+00,7.689866e-02
7.165946e-01,5.925428e-01,6.540229e-01
1.044162e+00,1.696177e+00,1.701485e-01
7.091404e-01,1.351871e+00,3.834038e-01
1.465462e+00,2.304949e+00,3.412194e-02
7.094532e-01,2.172738e+00,2.140692e-01
1.073211e+00,8.756411e-01,3.907265e-01
1.512609e-01,1.272994e+00,8.248496e-01
4.303598e-01,4.538883e-02,9.806560e-01
2.456853e-01,7.236463e-01,8.371188e-01
1.837801e+00,1.546284e+00,5.832277e-02
1.328039e+00,1.334835e-01,8.375525e-01
1.689815e+00,1.672048e+00,5.928189e-02
9.144371e-01,2.828660e+00,7.527317e-02
1.921871e+00,1.167401e+00,1.060765e-01
1.296101e+00,2.696887e+00,3.033545e-02
1.642389e+00,2.500783e-01,6.631688e-01
1.817653e+00,1.682656e+00,4.695877e-02
1.921398e+00,2.474133e+00,8.618928e-03
6.448350e-01,1.964316e+00,2.817713e-01
6.318669e-01,2.491475e+00,2.071565e-01
1.657445e+00,6.506127e-01,3.401548e-01
3.430772e-01,1.996127e+00,5.041782e-01
1.491930e+00,2.054213e+00,4.666589e-02
1.267479e+00,2.023220e+00,7.696615e-02
1.380099e+00,4.438578e-01,5.419574e-01
1.817229e+00,1.760525e+00,4.079175e-02
1.994482e+00,1.166887e+00,9.755547e-02
1.319855e-01,1.812736e+00,7.872142e-01
2.239268e-01,2.151391e+00,6.176988e-01
6.154053e-01,4.906729e-01,7.393657e-01
1.122019e+00,1.752314e+00,1.399978e-01
7.603625e-01,5.167062e-01,6.751070e-01
1.041647e+00,2.344990e+00,8.692992e-02
1.910055e+00,6.584012e-01,2.843406e-01
1.490416e+00,1.804330e+00,6.793509e-02
1.265452e+00,4.283085e-01,5.815817e-01
1.154640e+00,1.605848e+00,1.565818e-01
1.037880e-01,2.452575e+00,7.752670e-01
1.484490e+00,1.939292e+00,5.619877e-02
1.441131e+00,1.902078e+00,6.449654e-02
1.064671e+00,2.113871e+00,1.053383e-01
1.682844e-01,2.551144e+00,6.509530e-01
1.307020e+00,1.484922e+00,1.435858e-01
1.883619e+00,1.413819e-01,7.662019e-01
2.409505e-01,2.330873e+00,5.702816e-01
1.546994e+00,1.819492e-01,7.546703e-01
2.264090e-01,2.397279e+00,5.811388e-01
1.440984e+00,2.296430e+00,3.654838e-02
1.027178e+00,3.095716e-01,7.276137e-01
1.169506e+00,6.666418e-03,9.922339e-01
6.518661e-01,8.877481e-01,5.606307e-01
1.012102e-01,1.579160e+00,8.522912e-01
1.708364e+00,2.399549e+00,1.658423e-02
4.415450e-01,1.832174e+00,4.453088e-01
4.988677e-01,9.117464e-01,6.345490e-01
1.649288e+00,1.457818e+00,9.032309e-02
1.973836e+00,8.726877e-02,8.417651e-01
1.661279e+00,2.951734e+00,7.419433e-03
1.680901e+00,3.820556e-01,5.261349e-01
1.346485e+00,1.293578e-01,8.401470e-01
5.629177e-01,1.846107e+00,3.537353e-01
3.308159e-01,3.140296e-01,9.013280e-01
1.990453e+00,1.173829e+00,9.667008e-02
4.334160e-01,2.601262e+00,3.238650e-01
1.028687e+00,2.488170e+00,7.733966e-02
1.815495e+00,5.648318e-01,3.586353e-01
1.039523e+00,1.894735e+00,1.395097e-01
1.677732e+00,8.302272e-01,2.483543e-01
3.892116e-01,2.304315e+00,4.078458e-01
1.930622e-01,1.008107e+00,8.231414e-01
1.749285e+00,1.221001e+00,1.181406e-01
4.779332e-01,2.206890e-01,8.998973e-01
1.595876e+00,8.501016e-01,2.575203e-01
8.223218e-01,7.413285e-01,5.435625e-01
1.810758e+00,1.972624e+00,2.810116e-02
1.389235e+00,2.625985e+00,2.604032e-02
1.206709e+00,1.520156e+00,1.597116e-01
5.761845e-01,2.002355e+00,3.154593e-01
1.985425e+00,1.353349e+00,6.808669e-02
1.359127e+00,2.439478e+00,3.631370e-02
1.317264e+00,2.975900e+00,1.984017e-02
5.034841e-01,2.930645e+00,2.286568e-01
2.067800e-01,1.964674e+00,6.661400e-01
5.322371e-01,8.241183e-02,9.570854e-01
6.633253e-01,1.012376e+00,5.109241e-01
5.583923e-01,9.519781e-01,5.876773e-01
1.645927e-01,3.479501e-01,9.443390e-01
3.231388e-01,1.045487e+00,7.133113e-01
1.353979e+00,2.821310e+00,2.192790e-02
5.098119e-01,2.146655e+00,3.347437e-01
7.801239e-01,1.205798e-02,9.906374e-01
1.981624e-01,9.215781e-01,8.330829e-01
7.538284e-01,1.590104e+00,3.015965e-01
1.433576e+00,2.659665e+00,2.208552e-02
3.506531e-01,2.154473e+00,4.697886e-01
1.290941e+00,1.414325e+00,1.610871e-01
1.519085e-01,2.525975e+00,6.813243e-01
1.117589e+00,1.414160e+00,2.058826e-01
6.260258e-01,7.219208e-01,6.363917e-01
1.180585e+00,1.168808e+00,2.516095e-01
8.026885e-01,7.093039e-02,9.446555e-01
2.239863e-01,4.977729e-01,8.944965e-01
1.231147e+00,1.765800e-01,8.046113e-01
1.680343e+00,2.680127e+00,1.106982e-02
1.329127e+00,2.821848e+00,2.350377e-02
4.389808e-01,1.895586e+00,4.351232e-01
1.607959e+00,1.694086e+00,6.561044e-02
1.520685e+00,1.698510e+00,7.555463e-02
9.338997e-01,5.698533e-01,5.873198e-01
1.112707e+00,2.328760e+00,7.492800e-02
4.959520e-01,9.029634e-01,6.390155e-01
9.897136e-01,6.786352e-01,5.108627e-01
1.935658e+00,1.602012e+00,4.500659e-02
8.467414e-01,1.474589e-01,8.826209e-01
1.383074e+00,1.740783e+00,9.002837e-02
1.452423e+00,9.726096e-01,2.434996e-01
1.429830e+00,1.405665e+00,1.340073e-01
1.589759e+00,1.393356e+00,1.091426e-01
1.802263e+00,1.885344e+00,3.344395e-02
4.685932e-01,1.895524e+00,4.113834e-01
6.636792e-01,2.193731e+00,2.331826e-01
5.428040e-01,2.398042e+00,2.720780e-01
9.917739e-01,1.892903e-01,8.288358e-01
1.858867e+00,6.164691e-01,3.179269e-01
6.617463e-01,2.620730e-01,8.407795e-01
8.023760e-01,3.236595e-01,7.712856e-01
1.444512e+00,2.293500e+00,3.640717e-02
1.345581e+00,1.738598e+00,9.638307e-02
3.214719e-01,5.428240e-01,8.398746e-01
2.771022e-01,9.961609e-02,9.727737e-01
2.666049e-01,2.143680e+00,5.646690e-01
7.071893e-01,8.666930e-01,5.417687e-01
6.515202e-01,2.356409e+00,2.154023e-01
1.786099e+00,1.464725e+00,7.308414e-02
1.515109e+00,2.914478e+00,1.208545e-02
1.603628e+00,2.476539e+00,1.884617e-02
1.366124e+00,2.374466e+00,3.901481e-02
7.518340e-01,2.785059e+00,1.232054e-01
1.573318e+00,2.792139e+00,1.236456e-02
1.269874e+00,2.726673e+00,3.135027e-02
8.808219e-01,1.918330e+00,1.845735e-01
1.755365e+00,2.350138e+00,1.615784e-02
5.170970e-01,3.082184e-02,9.841885e-01
5.290985e-01,2.756700e+00,2.325696e-01
3.945962e-01,5.763535e-01,7.965807e-01
3.819521e-01,2.941395e+00,3.251489e-01
1.201566e+00,1.861179e+00,1.068501e-01
1.229669e+00,1.359429e+00,1.879371e-01
4.489702e-01,3.697102e-01,8.470557e-01
7.256634e-01,1.417589e+00,3.574741e-01
1.833900e+00,1.531211e+00,6.032025e-02
4.412749e-01,4.610013e-01,8.159287e-01
9.020016e-01,1.827642e+00,1.923312e-01
1.430996e+00,1.011014e+00,2.353323e-01
8.953417e-01,8.362637e-01,4.729613e-01
2.957008e-01,2.843870e+00,4.313072e-01
1.378149e+00,2.952226e+00,1.710121e-02
1.200518e+00,2.878914e+00,3.154975e-02
1.799643e+00,1.172935e+00,1.211332e-01
1.291619e+00,1.147369e+00,2.271911e-01
1.549745e+00,6.228646e-01,3.808760e-01
4.746584e-01,2.087145e+00,3.713238e-01
1.849050e+00,2.030416e+00,2.341590e-02
1.217353e+00,1.289892e+00,2.079924e-01
9.850571e-01,1.845153e+00,1.624182e-01
1.713382e-01,2.321982e+00,6.717667e-01
1.087164e+00,1.640085e+00,1.681261e-01
4.263834e-01,1.882312e+00,4.481682e-01
1.046538e+00,3.259475e-01,7.109762e-01
