k,t,T
9.365377e-01,1.197552e+00,3.192119e+02
1.843669e-01,2.040202e+01,2.950100e+02
5.080519e-01,1.224485e+00,3.360952e+02
3.846253e-01,4.929237e+00,3.051645e+02
2.227783e-01,1.613188e+01,2.953494e+02
6.980452e-01,1.069007e+00,3.310826e+02
7.776023e-01,2.230942e+00,3.072650e+02
4.553470e-01,2.096952e+00,3.239399e+02
5.965250e-02,9.347473e+00,3.389565e+02
6.883880e-01,4.755792e-01,3.508146e+02
9.115998e-01,4.518008e+00,2.944514e+02
5.098628e-01,5.825896e+00,2.972526e+02
1.057878e-02,4.316885e+02,2.939813e+02
6.380099e-01,1.399865e+00,3.258999e+02
8.310944e-01,4.747924e+00,2.946966e+02
2.360861e-01,1.119333e+01,2.988441e+02
3.289775e-01,1.376492e-01,3.696081e+02
4.864426e-01,3.480713e+00,3.078649e+02
2.021361e-01,7.600135e+00,3.103647e+02
9.081097e-01,3.096546e+00,2.979568e+02
5.890924e-01,4.053024e+00,3.004979e+02
2.607388e-01,3.569409e+00,3.246927e+02
8.359285e-01,2.048788e+00,3.075811e+02
4.727630e-01,9.878334e+00,2.938997e+02
5.186784e-01,7.838303e+00,2.945223e+02
1.446744e-01,2.499285e+01,2.953016e+02
6.876474e-02,3.523049e+01,3.002451e+02
9.975176e-01,2.633699e+00,2.989327e+02
4.980981e-01,6.951233e+00,2.956584e+02
6.371339e-01,3.255616e+00,3.032019e+02
5.818003e-01,4.757142e-01,3.538083e+02
2.490508e-01,1.202255e+01,2.971560e+02
6.802025e-02,6.411154e+01,2.941714e+02
3.377628e-02,1.402322e+02,2.938515e+02
3.207132e-01,1.328184e+01,2.942802e+02
1.386515e-01,3.479429e+00,3.425326e+02
5.561304e-01,3.426943e+00,3.050460e+02
8.496979e-01,2.662474e+00,3.014789e+02
7.462632e-01,6.424765e-02,3.694048e+02
9.460014e-01,2.588820e+00,3.000602e+02
8.684603e-01,4.120373e+00,2.953837e+02
8.941789e-01,3.024847e-01,3.541913e+02
8.697170e-01,7.602989e-01,3.344467e+02
1.793875e-01,1.928898e+01,2.956639e+02
2.022166e-01,1.951338e+01,2.946967e+02
3.172617e-02,1.298557e+02,2.944498e+02
1.143413e-01,3.494473e+00,3.467991e+02
9.180648e-01,2.273195e+00,3.030753e+02
7.286224e-01,3.403756e+00,2.998491e+02
1.516751e-01,7.446735e+00,3.190060e+02
8.346425e-02,2.604430e+01,3.022499e+02
7.982848e-01,3.368113e+00,2.985875e+02
5.937227e-01,5.508460e+00,2.961890e+02
5.861162e-01,8.393740e+00,2.937341e+02
1.409509e-01,3.230094e+01,2.939930e+02
9.434347e-01,2.406392e+00,3.014127e+02
5.818256e-01,3.449061e+00,3.039040e+02
5.295555e-01,6.711790e+00,2.954382e+02
6.936868e-01,5.399380e+00,2.950399e+02
3.274050e-01,8.897513e+00,2.974946e+02
4.647811e-01,7.077246e+00,2.961322e+02
9.947969e-01,4.982253e+00,2.937131e+02
8.906202e-01,3.494591e-02,3.706985e+02
8.912367e-01,5.354060e+00,2.938273e+02
1.910283e-01,1.483843e+01,2.978496e+02
7.620454e-01,4.984215e+00,2.949429e+02
3.506204e-01,1.004369e+01,2.955144e+02
2.717595e-01,7.952895e+00,3.023643e+02
9.371780e-01,4.643213e+00,2.941810e+02
1.780772e-01,2.269148e+01,2.945566e+02
6.863751e-01,4.154361e-01,3.533024e+02
2.172954e-02,4.273180e+01,3.247603e+02
6.423940e-01,6.808864e-01,3.448072e+02
4.468627e-01,1.348981e+00,3.369318e+02
8.696701e-01,5.079290e+00,2.941153e+02
5.226185e-01,8.828152e+00,2.939432e+02
6.456268e-01,1.325095e+00,3.271551e+02
5.187456e-01,8.277831e+00,2.942419e+02
8.461218e-02,5.375501e+01,2.939968e+02
7.366858e-01,1.616979e+00,3.174584e+02
4.420091e-01,5.858134e+00,2.991555e+02
4.805441e-01,9.145113e+00,2.941375e+02
5.476644e-01,5.057225e+00,2.981647e+02
8.143616e-01,1.710729e+00,3.130133e+02
6.742624e-01,4.688547e+00,2.965396e+02
4.850008e-01,7.660312e+00,2.950979e+02
8.399288e-01,3.841391e+00,2.963257e+02
8.059957e-01,1.158532e-01,3.660180e+02
4.627156e-01,9.464943e+00,2.941525e+02
3.731603e-01,6.154397e+00,3.011982e+02
3.524987e-01,2.975846e+00,3.211735e+02
9.338761e-01,2.780009e+00,2.991146e+02
2.592103e-01,8.173615e+00,3.027652e+02
4.095607e-01,1.005403e+01,2.944525e+02
5.012011e-01,8.639851e+00,2.942031e+02
2.256796e-01,7.414325e+00,3.081607e+02
6.375137e-01,1.334945e+00,3.273074e+02
3.721978e-01,1.103648e+01,2.944656e+02
1.536103e-01,3.104981e+01,2.938287e+02
7.946798e-01,2.071554e+00,3.085721e+02
6.047034e-02,5.375850e+01,2.962495e+02
5.543732e-01,4.542909e+00,2.995966e+02
5.254231e-01,6.458577e+00,2.958373e+02
4.506195e-01,2.028839e+00,3.252159e+02
7.231045e-01,6.816041e-01,3.420196e+02
9.835355e-01,4.457819e+00,2.941476e+02
1.067483e-01,7.021976e+00,3.309550e+02
5.259023e-01,2.585035e+00,3.136936e+02
9.266510e-01,5.486045e-01,3.412683e+02
6.335168e-02,3.356595e+01,3.026907e+02
9.975461e-01,4.386635e+00,2.941562e+02
9.563810e-02,4.272995e+01,2.944937e+02
6.862432e-01,6.561391e+00,2.940363e+02
3.596447e-01,3.839971e+00,3.132557e+02
3.510555e-01,8.965269e+00,2.965874e+02
8.924935e-01,4.104871e+00,2.952013e+02
1.096745e-02,3.115387e+02,2.957754e+02
3.595583e-01,3.702760e+00,3.142795e+02
6.333880e-01,1.764950e-02,3.722607e+02
2.679094e-01,1.458818e+00,3.472696e+02
4.896386e-01,9.784690e+00,2.938144e+02
1.639024e-01,2.217011e+01,2.952634e+02
3.576626e-01,1.674929e+00,3.370962e+02
4.716854e-01,1.694043e+00,3.291303e+02
4.240160e-01,2.223261e+00,3.243160e+02
3.216554e-01,4.043284e+00,3.149407e+02
6.917264e-01,5.549945e+00,2.948711e+02
9.991337e-02,1.677835e+01,3.081140e+02
6.211158e-01,1.573237e+00,3.232602e+02
5.056101e-01,8.889082e+00,2.940437e+02
9.362314e-01,3.958132e+00,2.951166e+02
8.548482e-01,3.591283e+00,2.968637e+02
4.680014e-01,7.802137e+00,2.952264e+02
6.199473e-01,2.751342e+00,3.076818e+02
2.396770e-01,1.634472e+01,2.947413e+02
9.884459e-01,3.961468e+00,2.947441e+02
7.685972e-01,4.584464e+00,2.955094e+02
1.431209e-01,2.248739e+01,2.963515e+02
6.129018e-02,5.936958e+01,2.952528e+02
9.579435e-01,1.064258e+00,3.220120e+02
6.198487e-01,6.836300e+00,2.943055e+02
5.083524e-01,6.150344e+00,2.966595e+02
6.910448e-01,6.979716e+00,2.937932e+02
5.458352e-01,6.234463e+00,2.958119e+02
4.183888e-01,9.396769e+00,2.947191e+02
1.964876e-01,4.208270e+00,3.281432e+02
2.708681e-01,1.170671e+01,2.965070e+02
3.356915e-01,4.882929e+00,3.086815e+02
1.001387e-01,2.729660e+01,2.983496e+02
5.911076e-01,6.367424e+00,2.950056e+02
5.443658e-01,2.785617e+00,3.107101e+02
9.967203e-01,9.744951e-01,3.234373e+02
3.685950e-01,1.885874e+00,3.330710e+02
3.564958e-01,6.677874e+00,3.005494e+02
1.974251e-01,1.567720e+01,2.967717e+02
7.988608e-01,1.103914e+00,3.262705e+02
2.177379e-01,4.073618e+00,3.261018e+02
3.890056e-01,3.834111e+00,3.111530e+02
6.033652e-01,9.428266e-01,3.384432e+02
9.475264e-01,3.960897e+00,2.950257e+02
7.556247e-01,4.754855e+00,2.953515e+02
4.911205e-01,5.674256e+00,2.980797e+02
9.488336e-01,3.351783e+00,2.964759e+02
9.808551e-01,3.623281e+00,2.954390e+02
6.851709e-01,4.284629e+00,2.973975e+02
3.139800e-01,3.812324e-01,3.641250e+02
3.279788e-01,6.422955e+00,3.028821e+02
5.499785e-01,3.873510e+00,3.026537e+02
7.673725e-01,5.807990e+00,2.940779e+02
3.039568e-01,1.055110e+01,2.963880e+02
9.420275e-01,2.980489e+00,2.979775e+02
7.195549e-01,5.697646e+00,2.944761e+02
9.988512e-01,3.720753e+00,2.950956e+02
4.889247e-01,5.881761e+00,2.976600e+02
2.338687e-01,6.679414e+00,3.099255e+02
5.238040e-01,9.397826e+00,2.937324e+02
9.096596e-01,1.512591e+00,3.133581e+02
8.999335e-01,4.342297e-01,3.472724e+02
9.250067e-01,5.047346e+00,2.939007e+02
8.151715e-01,4.487573e+00,2.952124e+02
9.324239e-01,2.951600e+00,2.982533e+02
7.309326e-01,2.578985e+00,3.052955e+02
2.421109e-01,1.694789e+01,2.944715e+02
4.953114e-01,1.566921e+00,3.299653e+02
2.238384e-01,1.204880e+01,2.985427e+02
8.374141e-01,2.785165e+00,3.009155e+02
6.271535e-01,2.746387e-01,3.604921e+02
6.019038e-01,6.853467e+00,2.944429e+02
9.265924e-01,1.389689e-01,3.634843e+02
9.594801e-01,1.952487e+00,3.054384e+02
1.215172e-01,1.980683e+01,3.003577e+02
7.710964e-01,5.705274e-01,3.446764e+02
6.004878e-01,4.373598e+00,2.989377e+02
7.071168e-01,4.914970e+00,2.956258e+02
1.330820e-01,3.508755e+01,2.939001e+02
1.828685e-01,1.568695e+01,2.976920e+02
4.107340e-01,1.134777e+01,2.939066e+02
3.957120e-01,4.818734e+00,3.050340e+02
1.321333e-01,1.025884e+01,3.137748e+02
6.147411e-01,4.477845e+00,2.982504e+02
9.624048e-01,4.382708e+00,2.943283e+02
1.146738e-01,2.809513e+01,2.963407e+02
3.376546e-01,6.679433e+00,3.015370e+02
2.179011e-01,1.523237e+01,2.960447e+02
4.558709e-01,5.882968e+00,2.986248e+02
4.428224e-01,1.097894e+01,2.937690e+02
7.628800e-01,6.823203e-01,3.406865e+02
2.090308e-01,1.306784e+01,2.983593e+02
2.604439e-01,8.624460e+00,3.016141e+02
8.885014e-01,3.652560e+00,2.962665e+02
2.195269e-02,1.858716e+02,2.945021e+02
7.230333e-01,4.500882e+00,2.962387e+02
6.396011e-01,1.473974e+00,3.243142e+02
7.218616e-01,6.299213e+00,2.939978e+02
4.347811e-01,1.958048e-01,3.666213e+02
5.919565e-02,1.809845e+01,3.205537e+02
9.391308e-01,4.950848e+00,2.939153e+02
6.966327e-01,7.038080e+00,2.937440e+02
4.706469e-01,1.005976e+01,2.938529e+02
3.831130e-01,2.508881e+00,3.237452e+02
7.204148e-01,3.762022e-01,3.541580e+02
9.843478e-01,3.548392e+00,2.955831e+02
8.109284e-01,2.521124e+00,3.035061e+02
4.468897e-01,2.424779e-01,3.649343e+02
