lambda,t,N
2.814424e-01,2.137480e+00,5.507508e-01
8.887298e-01,1.173204e+00,3.565039e-01
1.315584e+00,2.074534e+00,6.379576e-02
1.856135e-01,2.190794e+00,6.652942e-01
7.162396e-01,4.448334e-02,9.675889e-01
6.350356e-01,1.111054e+00,4.923624e-01
1.778231e+00,7.645755e-01,2.531354e-01
1.487551e+00,2.710357e+00,1.887752e-02
1.508405e+00,2.079140e+00,4.311694e-02
1.796469e+00,2.479318e+00,1.411497e-02
1.690767e+00,2.381498e+00,1.603118e-02
1.041772e+00,5.953107e-01,5.365483e-01
3.760491e-01,7.642858e-01,7.457380e-01
1.931489e+00,5.765917e-01,3.252422e-01
1.181515e+00,2.730391e+00,4.373457e-02
1.280168e+00,2.419260e+00,4.551103e-02
1.922470e+00,1.855954e+00,2.986967e-02
9.343957e-01,1.108897e+00,3.563771e-01
3.815040e-01,7.005532e-01,7.668400e-01
1.241854e+00,2.968439e+00,2.985787e-02
1.608347e+00,1.954768e+00,4.575859e-02
2.186358e-01,2.632495e+00,5.595638e-01
1.772705e+00,3.598968e-01,5.300351e-01
1.017184e+00,1.222858e+00,2.872754e-01
1.460929e+00,2.548167e+00,2.988243e-02
1.191070e+00,2.262326e+00,6.297874e-02
1.004996e+00,1.860035e+00,1.521546e-01
7.484690e-01,2.008416e+00,2.225315e-01
5.660992e-01,6.341270e-01,7.019282e-01
5.785484e-01,1.708415e-01,9.032940e-01
2.940119e-01,1.605396e+00,6.225149e-01
1.890824e+00,2.866299e+00,9.999604e-03
1.565050e-01,2.654778e+00,6.622485e-01
1.226736e+00,1.302000e+00,2.021574e-01
6.856086e-01,2.271759e+00,2.048423e-01
1.642371e+00,1.392504e-01,7.943539e-01
1.276619e+00,2.251553e+00,5.867889e-02
3.205633e-01,2.545436e+00,4.389915e-01
1.420287e-01,2.649410e+00,6.890165e-01
4.524324e-01,1.280032e+00,5.582144e-01
1.742030e+00,2.741511e+00,1.516963e-02
1.253195e+00,2.685886e+00,3.893513e-02
1.860854e+00,1.888956e+00,2.882260e-02
9.026949e-01,3.032087e-01,7.616559e-01
3.858081e-01,1.636013e-01,9.344682e-01
1.567798e+00,1.041436e+00,1.947253e-01
1.442968e-01,2.896357e+00,6.591746e-01
8.587542e-01,2.132815e-01,8.312542e-01
1.331041e+00,2.310995e+00,4.403696e-02
8.990133e-01,1.936285e+00,1.779665e-01
9.729868e-01,1.304146e+00,2.807964e-01
7.701500e-01,2.163825e+00,1.931337e-01
5.351629e-01,1.925053e+00,3.570927e-01
1.719578e+00,7.077170e-01,2.994592e-01
1.357600e+00,1.568055e+00,1.131408e-01
1.684841e+00,1.126649e+00,1.482560e-01
8.868730e-01,2.738657e+00,8.754367e-02
8.896066e-01,5.608964e-01,6.067362e-01
5.509164e-01,5.329516e-01,7.430312e-01
1.923722e+00,2.474560e+00,1.182807e-02
9.344328e-01,2.831165e+00,6.987684e-02
1.943106e+00,5.121606e-01,3.698152e-01
1.643484e+00,7.856244e-02,8.772284e-01
8.488463e-01,2.239578e+00,1.498632e-01
1.701764e+00,2.846433e+00,9.384521e-03
3.064230e-01,3.326621e-01,8.990890e-01
1.977940e+00,2.861497e-01,5.702841e-01
7.595799e-01,3.845900e-01,7.427966e-01
1.022420e+00,9.574870e-01,3.749763e-01
2.258724e-01,2.507161e-01,9.421071e-01
7.690501e-01,2.292689e-01,8.410661e-01
1.224207e+00,2.156999e+00,7.293399e-02
1.675301e+00,1.053765e+00,1.713674e-01
2.815255e-01,9.228767e-01,7.711325e-01
1.755696e+00,1.335215e+00,9.804053e-02
8.950077e-01,1.918003e-01,8.455717e-01
1.844155e+00,2.779536e+00,5.197828e-03
1.172866e+00,1.080583e+00,2.839156e-01
1.046475e+00,3.182025e-02,9.648248e-01
1.649847e+00,7.548330e-02,8.847110e-01
9.292130e-01,1.111844e+00,3.583157e-01
1.431980e+00,2.930281e+00,1.876671e-02
9.165664e-01,2.574969e+00,9.101171e-02
1.227061e+00,3.237717e-01,6.717745e-01
1.479775e+00,2.455784e-01,6.986022e-01
1.921105e+00,1.295296e+00,7.891382e-02
5.669441e-01,1.887225e+00,3.453697e-01
3.425352e-01,7.209482e-02,9.743624e-01
1.843651e+00,8.403623e-01,2.056336e-01
1.701531e-01,9.291313e-01,8.533362e-01
1.215965e+00,1.943615e+00,8.834865e-02
1.195190e+00,2.551863e+00,4.555928e-02
1.028195e+00,1.394484e+00,2.431469e-01
1.841293e+00,6.883030e-01,2.777764e-01
8.346139e-01,2.492663e+00,1.275219e-01
1.244454e+00,2.168970e+00,6.611623e-02
5.190325e-01,7.898588e-01,6.655293e-01
5.899890e-01,9.478029e-01,5.637797e-01
1.384480e+00,1.375251e+00,1.507575e-01
1.684357e+00,1.578404e+00,7.159434e-02
1.978429e+00,6.264262e-01,2.870899e-01
1.405901e+00,1.734801e+00,8.665308e-02
1.443959e+00,7.798564e-01,3.269573e-01
4.112074e-01,1.201354e-01,9.503686e-01
1.708542e+00,7.591026e-01,2.764305e-01
1.938286e+00,2.557244e+00,5.696521e-03
1.910142e+00,3.123249e-01,5.469941e-01
1.063461e+00,1.539076e+00,1.934873e-01
9.320766e-01,1.192567e+00,3.318656e-01
1.954160e+00,1.232370e+00,8.988712e-02
1.850694e+00,2.153862e+00,1.648361e-02
3.411128e-01,7.747127e-01,7.678623e-01
3.395740e-01,2.726092e-01,9.094624e-01
1.008939e+00,2.720473e+00,5.765431e-02
1.477796e+00,7.702100e-01,3.231224e-01
7.833518e-01,1.846384e+00,2.402927e-01
1.751383e+00,9.528016e-01,1.922665e-01
1.878692e+00,2.221292e+00,1.835339e-02
1.149728e+00,1.160029e+00,2.669244e-01
8.887709e-01,2.899461e-01,7.695137e-01
3.098129e-01,4.425755e-01,8.734652e-01
1.339337e+00,1.648412e+00,1.080484e-01
2.172304e-01,1.431467e+00,7.376008e-01
1.831782e+00,3.392594e-01,5.432223e-01
1.046271e+00,4.796419e-01,6.051400e-01
6.216206e-01,9.901449e-01,5.366152e-01
1.070465e-01,2.754289e+00,7.441665e-01
6.376072e-01,8.144287e-02,9.461684e-01
1.270306e+00,1.617564e+00,1.231430e-01
1.921419e+00,2.996303e+00,4.072728e-03
8.019950e-01,1.662833e+00,2.603752e-01
2.027697e-01,1.297146e+00,7.698826e-01
6.277123e-01,3.425086e-01,8.091305e-01
1.142323e+00,2.567405e+00,5.000302e-02
6.634904e-01,2.549291e+00,1.821615e-01
2.265670e-01,2.338891e-01,9.524666e-01
5.319945e-01,2.735922e-01,8.669992e-01
1.668325e+00,1.704287e+00,5.605761e-02
1.170273e+00,1.798862e+00,1.214739e-01
6.320307e-01,2.948738e+00,1.569605e-01
8.033323e-01,9.033546e-01,4.874471e-01
1.611979e+00,1.442198e+00,9.441437e-02
1.902739e+00,1.409654e+00,6.714148e-02
9.791449e-01,2.157482e+00,1.191870e-01
2.928806e-01,1.809458e-01,9.492642e-01
1.336986e+00,1.986765e+00,6.576203e-02
1.800298e+00,2.318252e-01,6.651080e-01
1.662760e+00,1.765981e+00,5.251617e-02
3.790255e-01,8.990842e-02,9.671569e-01
1.585607e+00,1.840632e+00,5.210028e-02
1.966131e+00,1.898827e+00,1.965057e-02
1.609535e+00,1.564670e+00,7.616446e-02
9.815557e-01,2.637380e+00,7.671498e-02
1.197873e+00,2.285387e+00,6.820534e-02
6.992793e-01,2.691169e+00,1.535042e-01
1.558446e-01,1.072398e+00,8.489556e-01
4.134853e-01,7.761679e-01,7.292816e-01
5.830932e-01,2.652789e+00,2.150304e-01
8.390106e-01,2.489005e+00,1.278590e-01
1.152071e+00,1.239494e+00,2.392049e-01
8.311211e-01,1.147461e-01,9.081862e-01
8.889566e-01,1.378708e+00,2.888701e-01
4.225313e-01,1.791097e+00,4.705026e-01
7.103164e-01,2.770299e+00,1.353753e-01
1.954154e+00,6.511487e-01,2.783150e-01
5.100012e-01,2.310355e+00,3.087439e-01
2.142305e-01,2.006326e+00,6.550196e-01
1.555219e+00,7.803782e-01,2.946867e-01
8.065368e-01,2.342096e+00,1.452340e-01
6.754194e-01,1.904694e+00,2.800137e-01
5.562386e-01,2.915892e+00,1.963706e-01
1.731973e+00,1.434157e+00,8.829038e-02
3.263424e-01,7.842313e-01,7.722812e-01
3.737025e-01,1.914898e+00,4.880453e-01
1.426996e+00,4.483636e-01,5.262945e-01
1.638448e-01,8.301795e-01,8.749250e-01
9.033865e-01,1.792311e-01,8.510295e-01
8.774276e-01,5.474423e-01,6.144101e-01
4.034990e-01,1.628028e+00,5.191644e-01
1.956186e+00,2.291157e+00,9.866657e-03
3.611456e-01,1.950317e+00,4.948466e-01
8.893627e-01,1.156035e+00,3.604472e-01
6.250466e-01,2.975720e+00,1.535558e-01
8.654794e-01,1.116649e+00,3.789891e-01
6.715839e-01,1.085510e+00,4.772417e-01
7.462423e-01,2.277609e+00,1.804449e-01
1.189714e+00,5.831406e-01,4.993857e-01
1.999540e+00,1.952248e+00,1.999144e-02
1.007412e+00,1.259303e+00,2.793897e-01
1.186613e+00,3.761978e-01,6.408021e-01
1.692486e+00,1.479089e+00,8.537674e-02
9.672932e-01,1.916068e+00,1.522439e-01
8.985749e-01,1.291497e+00,3.090278e-01
2.535238e-01,1.180210e+00,7.431272e-01
9.502958e-01,1.808390e+00,1.753040e-01
1.929945e+00,1.797037e+00,3.245392e-02
1.244693e+00,1.801038e+00,1.054886e-01
1.466509e+00,1.432576e+00,1.246392e-01
3.961118e-01,2.719166e+00,3.398228e-01
3.810408e-01,1.166530e+00,6.364011e-01
6.264254e-01,3.451291e-01,8.063053e-01
4.111885e-01,2.023361e-01,9.229283e-01
1.446709e+00,5.270945e-01,4.673177e-01
1.538248e+00,2.212067e+00,2.874933e-02
2.727674e-01,2.253800e+00,5.439894e-01
9.178450e-01,1.479654e+00,2.528535e-01
8.403236e-01,2.510643e+00,1.220720e-01
7.676633e-01,1.507946e-01,8.902086e-01
1.094625e+00,2.284369e+00,8.203593e-02
1.069078e+00,1.309456e+00,2.474552e-01
1.675504e+00,2.021461e+00,3.570144e-02
1.244670e-01,2.363844e+00,7.432260e-01
1.275724e+00,1.576713e+00,1.373545e-01
1.549787e+00,2.813239e-01,6.438575e-01
6.481616e-01,1.225479e+00,4.494316e-01
1.405036e+00,1.605540e+00,9.998487e-02
2.712121e-01,2.328983e+00,5.360100e-01
1.575791e+00,2.910441e+00,1.389061e-02
1.519672e+00,1.439281e+00,1.131030e-01
1.619410e+00,1.909224e+00,3.977830e-02
1.879574e+00,2.091262e+00,1.747322e-02
1.917535e+00,1.366595e+00,6.761692e-02
1.825693e+00,2.285785e+00,1.587429e-02
7.587587e-01,1.565146e+00,3.028084e-01
4.938549e-01,1.117831e+00,5.775567e-01
1.621346e+00,1.165051e+00,1.524112e-01
1.767738e+00,3.419722e-01,5.504567e-01
1.541864e+00,2.631377e+00,1.510934e-02
6.575716e-01,1.985612e+00,2.713697e-01
1.198774e+00,2.946347e+00,3.030824e-02
5.823915e-01,2.176317e+00,2.792662e-01
1.845139e+00,2.371848e+00,1.118766e-02
5.315039e-01,2.591376e+00,2.531572e-01
1.056119e+00,1.653591e+00,1.675538e-01
1.770263e+00,2.600965e+00,1.259170e-02
3.888719e-01,1.054686e+00,6.621306e-01
7.579943e-01,2.426766e+00,1.609721e-01
1.294840e+00,5.782933e-01,4.752614e-01
1.461628e-01,1.848972e-01,9.719052e-01
4.699440e-01,8.041696e-01,6.898054e-01
9.205597e-01,2.744470e+00,7.641713e-02
1.672663e+00,6.390533e-01,3.404829e-01
6.284182e-01,8.804196e-01,5.690366e-01
1.422220e-01,3.192943e-02,9.904658e-01
7.495952e-01,1.136129e+00,4.264178e-01
7.787253e-01,2.075615e+00,1.997848e-01
1.232239e+00,2.112810e+00,7.401604e-02
4.757728e-01,7.885098e-01,6.868464e-01
1.264873e-01,1.858179e-01,9.754144e-01
6.850722e-01,1.694360e+00,3.132108e-01
1.979736e+00,1.028987e+00,1.290587e-01
1.105723e+00,2.780253e+00,4.641925e-02
1.509545e+00,2.230096e+00,3.396959e-02
1.316287e+00,1.011199e+00,2.603324e-01
1.542253e+00,8.314205e-01,2.721183e-01
1.960064e+00,8.143586e-01,2.031026e-01
3.172642e-01,9.831426e-01,7.328311e-01
1.522646e-01,1.513104e+00,7.962480e-01
1.707000e+00,2.517139e+00,1.025709e-02
1.574430e-01,2.501165e+00,6.778751e-01
1.208194e+00,7.497048e-01,4.104975e-01
1.682650e+00,2.910276e+00,4.170300e-03
1.346157e+00,2.536889e+00,2.841847e-02
1.989618e+00,2.628826e+00,9.316333e-03
1.163445e+00,6.225881e-01,4.797080e-01
9.669091e-01,1.142174e+00,3.348146e-01
1.738908e+00,6.672387e-01,3.115579e-01
1.901422e+00,2.634462e+00,5.413832e-03
1.947940e+00,7.575072e-01,2.289014e-01
5.885531e-01,2.718854e-01,8.526612e-01
6.967227e-01,1.936122e+00,2.594678e-01
1.991322e+00,2.298734e+00,1.273875e-02
1.769866e+00,1.856519e+00,3.878795e-02
4.104729e-01,2.434590e+00,3.647028e-01
9.795548e-01,1.423499e+00,2.494857e-01
1.355485e+00,1.778298e+00,9.155153e-02
1.482453e+00,1.070655e+00,2.074945e-01
1.258436e+00,9.796913e-01,2.904982e-01
1.913126e+00,1.268119e+00,8.866931e-02
1.659257e+00,2.708940e+00,9.433959e-03
1.683762e+00,1.047016e+00,1.699859e-01
1.926482e-01,5.185380e-01,9.049981e-01
1.251263e+00,1.644913e+00,1.266865e-01
1.790008e+00,2.682008e+00,7.730739e-03
1.077758e+00,1.578832e+00,1.842455e-01
7.996087e-01,2.270679e+00,1.675562e-01
2.816562e-01,2.283551e+00,5.207365e-01
8.609906e-01,1.843593e+00,2.039510e-01
1.968206e+00,1.750174e+00,3.192549e-02
6.008986e-01,2.438340e+00,2.273554e-01
8.552096e-01,2.923098e+00,8.166713e-02
1.052503e+00,7.376810e-01,4.651329e-01
1.157084e+00,2.357187e+00,6.398744e-02
1.961091e-01,2.046765e+00,6.622525e-01
5.728389e-01,2.402152e+00,2.518367e-01
2.985313e-01,2.753875e-01,9.273288e-01
5.118202e-01,1.242494e+00,5.290179e-01
1.374191e+00,6.559323e-01,4.024405e-01
5.400628e-01,3.241207e-01,8.420770e-01
1.430271e+00,1.985307e+00,6.100451e-02
1.674483e+00,2.854512e+00,1.097708e-02
2.993434e-01,6.773313e-01,8.157556e-01
5.254883e-01,9.484220e-01,6.020227e-01
1.438696e+00,5.949132e-02,9.185489e-01
6.580893e-01,2.060817e+00,2.589827e-01
1.571484e+00,7.498547e-01,3.063007e-01
1.990735e+00,1.847733e+00,2.662010e-02
4.324718e-01,1.333071e+00,5.630220e-01
1.600721e+00,1.701609e+00,6.113856e-02
1.962007e+00,2.674219e+00,5.677424e-04
5.748207e-01,2.205102e+00,2.780418e-01
1.659427e+00,1.448478e+00,8.926267e-02
1.098713e+00,2.854534e+00,4.242680e-02
1.575551e+00,7.339546e-01,3.177766e-01
1.656201e+00,1.941304e+00,3.610919e-02
1.618209e+00,1.091043e+00,1.702457e-01
9.045519e-01,2.328085e-01,8.119616e-01
1.832959e+00,1.898335e+00,2.902257e-02
4.009320e-01,2.028331e+00,4.414552e-01
3.212889e-01,2.760561e+00,4.129492e-01
2.419850e-01,2.598959e+00,5.362708e-01
1.220463e+00,1.447044e+00,1.658749e-01
3.045009e-01,7.873393e-01,7.868294e-01
1.932516e+00,1.226652e+00,9.748558e-02
1.632186e+00,1.388171e+00,9.887076e-02
1.604874e+00,6.024591e-01,3.781807e-01
7.758717e-01,1.551314e+00,3.002985e-01
1.754700e+00,2.864210e+00,1.261990e-02
1.283638e+00,1.367997e+00,1.708620e-01
6.276413e-01,1.894866e+00,3.055695e-01
1.287578e+00,1.728384e+00,1.071775e-01
8.520144e-01,1.682987e+00,2.380760e-01
9.586503e-01,2.918578e+00,6.092830e-02
1.089936e+00,6.914608e-01,4.710778e-01
1.990360e+00,5.187563e-01,3.552158e-01
5.787390e-01,1.780741e+00,3.563670e-01
3.786993e-01,1.934640e+00,4.804066e-01
7.196433e-01,8.060341e-01,5.590758e-01
1.321930e+00,1.024259e+00,2.591963e-01
1.157371e+00,5.210729e-01,5.483653e-01
2.551766e-01,2.738999e+00,5.001214e-01
1.125549e+00,3.437139e-01,6.817554e-01
5.526213e-01,2.557680e-01,8.719199e-01
5.652781e-01,1.214305e+00,5.050201e-01
1.131472e+00,7.537329e-01,4.279168e-01
2.468259e-01,2.713615e+00,5.122043e-01
9.472073e-01,7.221229e-01,5.053649e-01
1.482027e+00,1.726143e+00,7.412025e-02
1.916251e+00,2.652908e+00,8.016769e-03
1.574951e+00,2.334762e+00,3.126233e-02
1.111224e+00,7.960145e-01,4.135099e-01
