omega,S
8.749731e+00,2.115999e+00
6.833465e+00,1.959860e+00
6.048507e+00,1.844698e+00
1.014093e+00,-9.638963e-02
7.122594e+00,1.972587e+00
9.323887e+00,2.265389e+00
3.089552e+00,1.104693e+00
6.916197e+00,1.954880e+00
4.257018e+00,1.351481e+00
6.537923e+00,1.904920e+00
1.552740e+00,5.108933e-01
7.103834e+00,1.940877e+00
8.163066e+00,2.157792e+00
3.871310e+00,1.367143e+00
5.217740e+00,1.585500e+00
4.432777e+00,1.486667e+00
9.404912e+00,2.280057e+00
4.058982e+00,1.448620e+00
3.683048e+00,1.312691e+00
1.229651e+00,2.557046e-01
3.495933e+00,1.304157e+00
7.710074e+00,2.030954e+00
1.892804e+00,6.586972e-01
9.291860e+00,2.192506e+00
1.225907e+00,2.541868e-01
2.389084e+00,8.626330e-01
9.619750e+00,2.293295e+00
3.361539e+00,1.210793e+00
5.216088e+00,1.598655e+00
2.726778e+00,8.510879e-01
9.071137e+00,2.140873e+00
6.909279e+00,1.989487e+00
1.380162e+00,2.665569e-01
3.867039e+00,1.344853e+00
4.633301e+00,1.627673e+00
2.445436e+00,8.978822e-01
4.935301e+00,1.518172e+00
6.901543e+00,1.892491e+00
5.611353e+00,1.740638e+00
3.830553e+00,1.344656e+00
7.671041e+00,2.076028e+00
5.670770e+00,1.694909e+00
5.075584e+00,1.669363e+00
2.442788e+00,9.835727e-01
6.222485e+00,1.768559e+00
5.272943e+00,1.554803e+00
6.249287e+00,1.791700e+00
4.178030e+00,1.411087e+00
1.683697e+00,5.276547e-01
7.447283e+00,2.027026e+00
3.097267e+00,1.178001e+00
7.519200e+00,1.967000e+00
9.598288e+00,2.338818e+00
4.197608e+00,1.363504e+00
5.222985e+00,1.759328e+00
9.770188e+00,2.335259e+00
3.713875e+00,1.246642e+00
5.260858e+00,1.680593e+00
1.609601e+00,5.292239e-01
7.508748e+00,1.969159e+00
3.470403e+00,1.291106e+00
8.383106e+00,2.222874e+00
4.137814e+00,1.575562e+00
6.927160e+00,1.969575e+00
2.411862e+00,8.781586e-01
5.135403e+00,1.659534e+00
7.195311e+00,2.017014e+00
3.363201e+00,1.203245e+00
8.093557e+00,2.102270e+00
6.435416e+00,1.896779e+00
1.838581e+00,5.577476e-01
5.209131e+00,1.684609e+00
2.688818e+00,1.048608e+00
2.381990e+00,9.155020e-01
7.927027e+00,2.149975e+00
7.840623e+00,2.105198e+00
3.766409e+00,1.323952e+00
9.011558e+00,2.262894e+00
8.058564e+00,2.139458e+00
6.574238e+00,1.862238e+00
2.741302e+00,1.035575e+00
4.624950e+00,1.527915e+00
6.804751e+00,1.886900e+00
7.934744e+00,2.025160e+00
5.829843e+00,1.783887e+00
3.931149e+00,1.428196e+00
7.999860e+00,2.111343e+00
1.915974e+00,6.118222e-01
1.399602e+00,3.726206e-01
6.070988e+00,1.747233e+00
8.547052e+00,2.097102e+00
7.139818e+00,1.971176e+00
3.261437e+00,1.078022e+00
3.389758e+00,1.307214e+00
6.266529e+00,1.937269e+00
9.552520e+00,2.254858e+00
2.276569e+00,7.287925e-01
5.461834e+00,1.691111e+00
7.384225e+00,1.922755e+00
2.279913e+00,8.157245e-01
4.355740e+00,1.569554e+00
8.679509e+00,2.144389e+00
6.348445e+00,1.945497e+00
3.467737e+00,1.289402e+00
8.877817e+00,2.198037e+00
4.476802e+00,1.425678e+00
5.514133e+00,1.702065e+00
2.052328e+00,6.796882e-01
9.170118e+00,2.205720e+00
4.694427e+00,1.604980e+00
4.448449e+00,1.474732e+00
3.664036e+00,1.311906e+00
9.463682e+00,2.269053e+00
4.372354e+00,1.537335e+00
8.801019e+00,2.138198e+00
6.703971e+00,1.933946e+00
1.738140e+00,5.408544e-01
2.347062e+00,1.002977e+00
1.481170e+00,3.978920e-01
7.968259e+00,2.231576e+00
2.007937e+00,7.228880e-01
4.404573e+00,1.475192e+00
8.291652e+00,2.101509e+00
7.020732e+00,1.865600e+00
8.515214e+00,2.254649e+00
5.334987e+00,1.500007e+00
9.922958e+00,2.241085e+00
8.924054e+00,2.241611e+00
2.599814e+00,8.884364e-01
8.983837e+00,2.253659e+00
5.510958e+00,1.729230e+00
4.673591e+00,1.516477e+00
3.954434e+00,1.295483e+00
7.853126e+00,2.149014e+00
8.670590e+00,2.235277e+00
3.707167e+00,1.283650e+00
5.981877e+00,1.661793e+00
4.845119e+00,1.503350e+00
8.554125e+00,2.073884e+00
4.762643e+00,1.581316e+00
3.160097e+00,1.256481e+00
9.784156e+00,2.305698e+00
9.070466e+00,2.181909e+00
2.483216e+00,8.744006e-01
5.791445e+00,1.806472e+00
9.617262e+00,2.200874e+00
6.437168e+00,1.793388e+00
1.247545e+00,2.581948e-01
9.685783e+00,2.254599e+00
4.822755e+00,1.537199e+00
7.543114e+00,2.097366e+00
2.204348e+00,7.369994e-01
8.649332e+00,2.196687e+00
7.866925e+00,1.983419e+00
9.890501e+00,2.305753e+00
2.104751e+00,7.642202e-01
3.825187e+00,1.259574e+00
8.676376e+00,2.228567e+00
5.789228e+00,1.604220e+00
1.678500e+00,6.286205e-01
5.919615e+00,1.656752e+00
5.600484e+00,1.623680e+00
4.906299e+00,1.698878e+00
4.366076e+00,1.470100e+00
9.042717e+00,2.240741e+00
9.340508e+00,2.279757e+00
1.805475e+00,6.307649e-01
1.533661e+00,4.212996e-01
5.617301e+00,1.658649e+00
2.743097e+00,1.040165e+00
2.716968e+00,9.476782e-01
7.102508e+00,1.964234e+00
4.122958e+00,1.388639e+00
4.562201e+00,1.675444e+00
5.795494e+00,1.675008e+00
4.479599e+00,1.502193e+00
7.187058e+00,1.967914e+00
3.145981e+00,1.134172e+00
8.180059e+00,2.119959e+00
1.769934e+00,5.572610e-01
1.347385e+00,3.417197e-01
6.830036e+00,1.893831e+00
7.941581e+00,2.068449e+00
5.512922e+00,1.636912e+00
8.083795e+00,2.025299e+00
5.074922e+00,1.686052e+00
4.339030e+00,1.491677e+00
2.409268e+00,8.971157e-01
1.886018e+00,7.152897e-01
5.813867e+00,1.700659e+00
7.965919e+00,1.999343e+00
5.811916e+00,1.718486e+00
9.955805e+00,2.344606e+00
3.095597e+00,1.253378e+00
4.672726e+00,1.430030e+00
5.051486e+00,1.592685e+00
7.304110e+00,1.950133e+00
8.024957e+00,2.086278e+00
6.671858e+00,1.991707e+00
3.469124e+00,1.257774e+00
2.460619e+00,8.999681e-01
5.045051e+00,1.638012e+00
4.227204e+00,1.392852e+00
3.073512e+00,1.132836e+00
3.220592e+00,1.201526e+00
2.687443e+00,9.701735e-01
4.421331e+00,1.426014e+00
4.234288e+00,1.430493e+00
4.325080e+00,1.407446e+00
4.160813e+00,1.464956e+00
2.062611e+00,7.960085e-01
7.026730e+00,1.986054e+00
9.188815e+00,2.247946e+00
6.338332e+00,1.856102e+00
9.339108e+00,2.227228e+00
7.169722e+00,1.961651e+00
6.148288e+00,1.746608e+00
1.527586e+00,3.951705e-01
5.363074e+00,1.780351e+00
5.046710e+00,1.595306e+00
2.011954e+00,7.038985e-01
7.926368e+00,2.060410e+00
6.009521e+00,1.837976e+00
8.434271e+00,2.181169e+00
7.997252e+00,2.148140e+00
7.456075e+00,2.026943e+00
7.761660e+00,2.041273e+00
8.728573e+00,2.188428e+00
1.060786e+00,-5.254554e-03
7.363997e+00,2.084187e+00
7.029408e+00,2.018736e+00
2.275813e+00,7.345202e-01
8.980530e+00,2.106015e+00
7.606372e+00,2.077157e+00
1.484155e+00,5.108230e-01
9.216244e+00,2.263406e+00
2.407840e+00,1.040827e+00
2.024949e+00,6.953996e-01
9.053420e+00,2.205054e+00
6.918062e+00,2.017553e+00
5.906600e+00,1.778365e+00
9.631953e+00,2.310660e+00
6.535844e+00,1.954545e+00
7.809437e+00,2.052206e+00
7.100535e+00,1.901425e+00
9.723708e+00,2.322565e+00
9.765441e+00,2.296060e+00
5.929287e+00,1.721327e+00
7.503614e+00,2.010784e+00
3.001664e+00,1.086479e+00
1.183192e+00,1.233009e-01
2.700194e+00,1.053679e+00
7.914227e+00,2.079388e+00
4.342848e+00,1.487164e+00
8.702669e+00,2.221959e+00
3.018429e+00,1.076279e+00
8.451125e+00,2.091582e+00
7.773472e+00,2.061054e+00
9.989011e+00,2.389755e+00
3.708517e+00,1.381547e+00
7.368540e+00,1.926533e+00
8.926079e+00,2.245623e+00
5.802922e+00,1.685567e+00
1.391666e+00,3.068413e-01
1.973809e+00,6.410576e-01
7.211973e+00,2.026272e+00
4.393687e+00,1.509399e+00
8.010284e+00,2.161575e+00
3.331851e+00,1.145635e+00
8.917961e+00,2.233549e+00
2.464009e+00,8.752148e-01
8.906672e+00,2.171002e+00
4.091669e+00,1.420243e+00
6.030535e+00,1.831945e+00
4.748672e+00,1.581965e+00
8.521970e+00,2.200201e+00
4.240608e+00,1.475267e+00
8.444339e+00,2.135593e+00
6.786566e+00,1.974547e+00
4.125258e+00,1.440790e+00
3.755901e+00,1.326787e+00
3.703030e+00,1.255695e+00
2.284608e+00,8.486479e-01
8.960924e+00,2.197203e+00
5.152917e+00,1.551910e+00
7.752051e+00,2.117760e+00
9.265094e+00,2.261295e+00
3.936919e+00,1.458630e+00
1.856610e+00,6.738787e-01
5.554495e+00,1.808386e+00
5.908991e+00,1.784740e+00
4.993379e+00,1.645562e+00
1.566215e+00,4.504929e-01
9.297521e+00,2.144137e+00
4.305421e+00,1.515678e+00
4.612512e+00,1.566797e+00
8.460440e+00,2.152346e+00
5.216888e+00,1.648185e+00
8.622838e+00,2.111819e+00
1.967187e+00,6.020482e-01
1.728195e+00,5.472980e-01
2.428397e+00,9.352502e-01
4.264331e+00,1.424671e+00
6.240290e+00,1.783358e+00
8.786056e+00,2.244537e+00
2.245692e+00,8.739482e-01
8.616522e+00,2.114802e+00
8.822138e+00,2.091676e+00
7.687699e+00,1.962997e+00
2.238256e+00,7.394404e-01
3.772089e+00,1.222872e+00
6.053181e+00,1.780510e+00
3.869350e+00,1.316943e+00
6.818306e+00,1.998836e+00
7.309157e+00,1.901514e+00
9.469200e+00,2.293410e+00
1.867241e+00,6.898417e-01
6.143979e+00,1.738068e+00
3.506754e+00,1.229251e+00
2.448090e+00,1.008424e+00
2.511607e+00,8.330098e-01
5.053441e+00,1.659427e+00
8.608613e+00,2.283891e+00
9.435861e+00,2.099734e+00
4.310672e+00,1.536965e+00
6.246010e+00,1.813965e+00
1.111414e+00,9.855037e-02
8.259280e+00,2.135731e+00
6.345172e+00,1.709131e+00
7.059228e+00,1.919780e+00
1.360237e+00,1.688811e-01
1.643325e+00,5.247904e-01
6.953970e+00,2.011101e+00
2.049122e+00,7.230471e-01
1.976132e+00,7.769660e-01
7.185521e+00,2.004100e+00
3.959955e+00,1.358025e+00
1.898245e+00,6.125032e-01
9.219042e+00,2.260658e+00
8.649237e+00,2.136875e+00
9.594168e+00,2.170926e+00
6.643673e+00,1.923060e+00
1.500858e+00,4.265084e-01
8.505314e+00,2.200053e+00
3.979114e+00,1.498998e+00
2.595115e+00,9.323462e-01
1.387541e+00,3.957771e-01
4.617002e+00,1.546148e+00
9.008381e+00,2.230388e+00
3.026501e+00,1.101431e+00
4.962790e+00,1.468861e+00
7.783861e+00,1.964616e+00
4.611420e+00,1.536274e+00
6.434070e+00,1.884248e+00
8.992017e+00,2.239784e+00
3.243893e+00,1.202338e+00
3.615362e+00,1.286278e+00
3.997694e+00,1.479050e+00
3.021647e+00,1.153706e+00
4.588145e+00,1.544529e+00
1.012682e+00,-1.650955e-02
5.181864e+00,1.614244e+00
2.545014e+00,9.506183e-01
5.600714e+00,1.845685e+00
1.988379e+00,5.258672e-01
2.661281e+00,9.677739e-01
1.989594e+00,7.270018e-01
1.283129e+00,4.240508e-01
9.319248e+00,2.305868e+00
9.666965e+00,2.257811e+00
1.636149e+00,5.064247e-01
4.753351e+00,1.560175e+00
5.081063e+00,1.577584e+00
4.952122e+00,1.585627e+00
1.750524e+00,5.870072e-01
1.768697e+00,4.285118e-01
5.966601e+00,1.713920e+00
7.810178e+00,2.061736e+00
5.089768e+00,1.613360e+00
7.286478e+00,1.961341e+00
2.977256e+00,1.014739e+00
3.373465e+00,1.188807e+00
3.404914e+00,1.203529e+00
4.550791e+00,1.469232e+00
1.584540e+00,4.032343e-01
1.216113e+00,2.579505e-01
9.684703e+00,2.271207e+00
7.078443e+00,1.958804e+00
8.201133e+00,1.996113e+00
8.883378e+00,2.148183e+00
2.889007e+00,1.052994e+00
3.461740e+00,1.186154e+00
7.062980e+00,1.998881e+00
9.264126e+00,2.298906e+00
4.812999e+00,1.518806e+00
5.245381e+00,1.563474e+00
2.017440e+00,7.701209e-01
2.920169e+00,1.086816e+00
3.659061e+00,1.281071e+00
2.737644e+00,1.025102e+00
7.036673e+00,1.969675e+00
5.171977e+00,1.586098e+00
4.834545e+00,1.526837e+00
3.080050e+00,1.142795e+00
1.557879e+00,2.751085e-01
4.304045e+00,1.566566e+00
5.922922e+00,1.786381e+00
4.831045e+00,1.620546e+00
4.716125e+00,1.540068e+00
6.262483e+00,1.788634e+00
3.547699e+00,1.203257e+00
2.295055e+00,6.818815e-01
2.655891e+00,1.012597e+00
9.150297e+00,2.276381e+00
6.221807e+00,1.786534e+00
7.839526e+00,2.080699e+00
1.371416e+00,2.381275e-01
1.466560e+00,4.515479e-01
7.256961e+00,1.999793e+00
6.884252e+00,1.959751e+00
8.760661e+00,2.120452e+00
1.591036e+00,4.280857e-01
8.382179e+00,2.195680e+00
4.359417e+00,1.447599e+00
2.680798e+00,9.942895e-01
5.444746e+00,1.617088e+00
4.021760e+00,1.449268e+00
5.795652e+00,1.785148e+00
8.652813e+00,2.135596e+00
7.257623e+00,2.020430e+00
6.422382e+00,1.883611e+00
3.439118e+00,1.279995e+00
2.480212e+00,8.479966e-01
7.866762e+00,2.052153e+00
2.840055e+00,9.126829e-01
1.092469e+00,1.194248e-01
3.732583e+00,1.248189e+00
2.096315e+00,7.011393e-01
6.710890e+00,1.904653e+00
1.639608e+00,3.953905e-01
6.667933e+00,1.890113e+00
3.815688e+00,1.364793e+00
9.388926e+00,2.161343e+00
9.324906e+00,2.277329e+00
7.077051e+00,1.885211e+00
6.110814e+00,1.900825e+00
4.810188e+00,1.528336e+00
5.132467e+00,1.670574e+00
4.346247e+00,1.457835e+00
3.828108e+00,1.333223e+00
7.221011e+00,2.001711e+00
7.913568e+00,2.131487e+00
4.216717e+00,1.422205e+00
9.793026e+00,2.272255e+00
8.501271e+00,2.116409e+00
8.760004e+00,2.158699e+00
6.644327e+00,1.944299e+00
2.108537e+00,8.079269e-01
4.132227e+00,1.429519e+00
7.566261e+00,2.031652e+00
6.594156e+00,1.904630e+00
8.622691e+00,2.126793e+00
1.419610e+00,3.227357e-01
3.755663e+00,1.361148e+00
9.483647e+00,2.295077e+00
9.147151e+00,2.201744e+00
1.493709e+00,4.603022e-01
4.198269e+00,1.514549e+00
1.010108e+00,2.938128e-02
9.564310e+00,2.312727e+00
1.194253e+00,2.075848e-01
3.952284e+00,1.385931e+00
7.664736e+00,2.088861e+00
1.244119e+00,2.393488e-01
3.207879e+00,1.193515e+00
5.930513e+00,1.664528e+00
9.245911e+00,2.222181e+00
5.198182e+00,1.547318e+00
8.118166e+00,2.096398e+00
1.470217e+00,3.442941e-01
3.779239e+00,1.256493e+00
7.567370e+00,2.034031e+00
2.869675e+00,9.945546e-01
4.421419e+00,1.412045e+00
4.649151e+00,1.600426e+00
1.438349e+00,3.609886e-01
7.636410e+00,1.988083e+00
8.313961e+00,2.095419e+00
2.844434e+00,1.030506e+00
6.666197e+00,1.884988e+00
4.693701e+00,1.637087e+00
9.116303e+00,2.185747e+00
8.300874e+00,2.054244e+00
8.637201e+00,2.085466e+00
5.670974e+00,1.692436e+00
7.189930e+00,1.946043e+00
4.597491e+00,1.387481e+00
7.948347e+00,2.145503e+00
4.388316e+00,1.384352e+00
2.580234e+00,1.014910e+00
9.857779e+00,2.234080e+00
8.199668e+00,1.959134e+00
5.162981e+00,1.649812e+00
9.737140e+00,2.239172e+00
6.748236e+00,2.007644e+00
7.480127e+00,2.036545e+00
7.949495e+00,2.103251e+00
8.433433e+00,2.214250e+00
8.719605e+00,2.207628e+00
9.349515e+00,2.216257e+00
8.693865e+00,2.269359e+00
9.848659e+00,2.250708e+00
1.572907e+00,4.851521e-01
5.684457e+00,1.687674e+00
2.310737e+00,8.961290e-01
9.451494e+00,2.242293e+00
3.747419e+00,1.290795e+00
5.741892e+00,1.652983e+00
6.051054e+00,1.835183e+00
4.795569e+00,1.563327e+00
6.592994e+00,1.931364e+00
2.068465e+00,6.388115e-01
9.958097e+00,2.195583e+00
5.635542e+00,1.844045e+00
1.363668e+00,3.026718e-01
9.288621e+00,2.235914e+00
5.686868e+00,1.763453e+00
8.119503e+00,2.020374e+00
9.850444e+00,2.284605e+00
6.252034e+00,1.906615e+00
6.596156e+00,1.852433e+00
5.365672e+00,1.775150e+00
6.302887e+00,1.822908e+00
4.423234e+00,1.514966e+00
4.322047e+00,1.498450e+00
1.474025e+00,4.324725e-01
1.920433e+00,6.324111e-01
4.888913e+00,1.538482e+00
8.087578e+00,2.043026e+00
3.497025e+00,1.230884e+00
9.184404e+00,2.252775e+00
1.822382e+00,6.185350e-01
2.680645e+00,1.087994e+00
3.543048e+00,1.277699e+00
2.503472e+00,9.062704e-01
1.291566e+00,2.594194e-01
3.029775e+00,1.165380e+00
3.561958e+00,1.140585e+00
2.695292e+00,9.997394e-01
7.326899e+00,2.117853e+00
7.194513e+00,1.911125e+00
1.424113e+00,3.995596e-01
7.602415e+00,2.023024e+00
1.326466e+00,2.297050e-01
9.357197e+00,2.114515e+00
9.621953e+00,2.301437e+00
5.250992e+00,1.781574e+00
4.092385e+00,1.392375e+00
9.040044e+00,2.270210e+00
1.774964e+00,4.779610e-01
5.170265e+00,1.581291e+00
1.288739e+00,2.642164e-01
8.784075e+00,2.178457e+00
6.094843e+00,1.751293e+00
2.604746e+00,9.177922e-01
6.724713e+00,1.885235e+00
8.884303e+00,2.151531e+00
6.275584e+00,1.984044e+00
4.925469e+00,1.488303e+00
9.983236e+00,2.290102e+00
5.854724e+00,1.765468e+00
8.572825e+00,2.103323e+00
9.037965e+00,2.140964e+00
2.036016e+00,7.412664e-01
3.184984e+00,1.124972e+00
2.470387e+00,9.450133e-01
7.217954e+00,1.990909e+00
6.143619e+00,1.732616e+00
9.015824e+00,2.349380e+00
6.503280e+00,1.847604e+00
5.886779e+00,1.630704e+00
1.705757e+00,4.842834e-01
4.189872e+00,1.464764e+00
6.361105e+00,1.919392e+00
2.661452e+00,9.481084e-01
2.920380e+00,1.056454e+00
3.989896e+00,1.250107e+00
5.462483e+00,1.651411e+00
1.760266e+00,4.924867e-01
8.659072e+00,2.112740e+00
4.854327e+00,1.569789e+00
7.601803e+00,1.933680e+00
1.339754e+00,3.345173e-01
3.510182e+00,1.186637e+00
1.874938e+00,6.579300e-01
3.346276e+00,1.154085e+00
4.104164e+00,1.397720e+00
2.984354e+00,1.078611e+00
8.695367e+00,2.238228e+00
7.775597e+00,1.992217e+00
7.677608e+00,1.997366e+00
9.081970e+00,2.165411e+00
6.260331e+00,1.813424e+00
8.143804e+00,2.033604e+00
8.743087e+00,2.077436e+00
5.141288e+00,1.693073e+00
2.613512e+00,9.118627e-01
8.609409e+00,2.129402e+00
6.887383e+00,2.026828e+00
5.289750e+00,1.585739e+00
2.576948e+00,9.276648e-01
1.949419e+00,5.847439e-01
5.880175e+00,1.741992e+00
3.653474e+00,1.347925e+00
4.100990e+00,1.473482e+00
6.921741e+00,1.989348e+00
1.685293e+00,5.097338e-01
8.803245e+00,2.208378e+00
3.219805e+00,1.289951e+00
1.972769e+00,6.877091e-01
6.710282e+00,1.875584e+00
4.319727e+00,1.457137e+00
8.445978e+00,2.071124e+00
4.276806e+00,1.388543e+00
1.935178e+00,6.850971e-01
6.671565e+00,2.013699e+00
3.548326e+00,1.258367e+00
1.549500e+00,4.611508e-01
5.853070e+00,1.773019e+00
1.396536e+00,4.980995e-01
8.492726e+00,2.097038e+00
7.193376e+00,2.014385e+00
9.100060e+00,2.123197e+00
1.344784e+00,3.035604e-01
8.716842e+00,2.134719e+00
6.921862e+00,1.966239e+00
2.707633e+00,1.070340e+00
9.829933e+00,2.270348e+00
6.661669e+00,1.853969e+00
8.527155e+00,2.184038e+00
5.421400e+00,1.711532e+00
6.394906e+00,1.825285e+00
9.442647e+00,2.242464e+00
6.216484e+00,1.723376e+00
8.170196e+00,2.042223e+00
8.673315e+00,2.200937e+00
2.820076e+00,1.070336e+00
6.137609e+00,1.731497e+00
5.639908e+00,1.795674e+00
8.927789e+00,2.161565e+00
3.247645e+00,1.244281e+00
4.233249e+00,1.419356e+00
2.139717e+00,7.301331e-01
1.438845e+00,3.907560e-01
4.926909e+00,1.636100e+00
9.629562e+00,2.281367e+00
9.202155e+00,2.151616e+00
6.778624e+00,1.900973e+00
6.037673e+00,1.825425e+00
2.577899e+00,8.924771e-01
9.048005e+00,2.229539e+00
4.684740e+00,1.474441e+00
9.356748e+00,2.276546e+00
8.778549e+00,2.290139e+00
6.384548e+00,1.844517e+00
9.143121e+00,2.201991e+00
1.678669e+00,6.504184e-01
5.034068e+00,1.557823e+00
4.269325e+00,1.492910e+00
1.274244e+00,2.077311e-01
2.342773e+00,8.717587e-01
6.846787e+00,1.934868e+00
3.772067e+00,1.336242e+00
1.460503e+00,3.818521e-01
4.824908e+00,1.514560e+00
6.399086e+00,1.768754e+00
3.054338e+00,1.070965e+00
9.352443e+00,2.207288e+00
8.138835e+00,2.077702e+00
8.852714e+00,2.139793e+00
5.295382e+00,1.529616e+00
4.269582e+00,1.471615e+00
2.539684e+00,9.931729e-01
3.037605e+00,1.135172e+00
3.075358e+00,1.215653e+00
3.400177e+00,1.245684e+00
4.778767e+00,1.605755e+00
3.869419e+00,1.363919e+00
2.407190e+00,8.920158e-01
7.090587e+00,1.986075e+00
4.771633e+00,1.548496e+00
3.083215e+00,1.039243e+00
5.635570e+00,1.705237e+00
9.846219e+00,2.310380e+00
8.592288e+00,2.139278e+00
7.711323e+00,2.063489e+00
8.297633e+00,2.140561e+00
1.404210e+00,2.956187e-01
4.757656e+00,1.576549e+00
9.835409e+00,2.245194e+00
1.909613e+00,5.786612e-01
8.363190e+00,2.182543e+00
2.554479e+00,9.164660e-01
2.733016e+00,9.579898e-01
2.300634e+00,8.630148e-01
8.403415e+00,2.014163e+00
6.415566e+00,1.918514e+00
5.059888e+00,1.679345e+00
2.945978e+00,1.113029e+00
8.958594e+00,2.250657e+00
1.387767e+00,3.638645e-01
1.171450e+00,9.765562e-02
5.079170e+00,1.597154e+00
3.105702e+00,1.221563e+00
3.579681e+00,1.264906e+00
5.168916e+00,1.511454e+00
7.128699e+00,1.917700e+00
3.373437e+00,1.319136e+00
5.627911e+00,1.697839e+00
1.944487e+00,7.029053e-01
8.112133e+00,2.188082e+00
7.820673e+00,2.105087e+00
2.183618e+00,7.766945e-01
2.670213e+00,9.561794e-01
7.616429e+00,1.986708e+00
1.141686e+00,1.520535e-01
4.875740e+00,1.490295e+00
6.763558e+00,1.907496e+00
5.902367e+00,1.921784e+00
6.221889e+00,1.820912e+00
2.831142e+00,1.068847e+00
1.771342e+00,4.858405e-01
4.414219e+00,1.398812e+00
9.275772e+00,2.296667e+00
5.286321e+00,1.598772e+00
1.582604e+00,4.891581e-01
6.630341e+00,1.883706e+00
1.310598e+00,1.957664e-01
4.772541e+00,1.607010e+00
9.113477e+00,2.266796e+00
8.719871e+00,2.162781e+00
8.027223e+00,1.977991e+00
9.761695e+00,2.312457e+00
9.358606e+00,2.296260e+00
5.503562e+00,1.811745e+00
9.253233e+00,2.156323e+00
9.263355e+00,2.124749e+00
4.508693e+00,1.636683e+00
6.413508e+00,1.933879e+00
9.233174e+00,2.235304e+00
1.568726e+00,4.138898e-01
7.323367e+00,1.867445e+00
6.606990e+00,1.874451e+00
9.718753e+00,2.239710e+00
1.102483e+00,2.282218e-01
7.697004e+00,1.983063e+00
9.967914e+00,2.335930e+00
9.193276e+00,2.167271e+00
1.883982e+00,6.236470e-01
2.826018e+00,1.005321e+00
3.776718e+00,1.346898e+00
4.587616e+00,1.449398e+00
4.408579e+00,1.383918e+00
3.802013e+00,1.263646e+00
3.053225e+00,1.034490e+00
3.000103e+00,1.099283e+00
3.536195e+00,1.301770e+00
9.484169e+00,2.278425e+00
5.117035e+00,1.685809e+00
4.774976e+00,1.598625e+00
6.408222e+00,1.786521e+00
2.555020e+00,9.006358e-01
2.687329e+00,1.099954e+00
9.018681e+00,2.152757e+00
3.043729e+00,1.069292e+00
2.120792e+00,6.374389e-01
9.542606e+00,2.162028e+00
8.590960e+00,2.114136e+00
8.056287e+00,2.204236e+00
6.773256e+00,1.902009e+00
6.361946e+00,1.961256e+00
8.070406e+00,2.038749e+00
6.293364e+00,1.720070e+00
6.529798e+00,1.956145e+00
2.211604e+00,7.561971e-01
6.112574e+00,1.908869e+00
7.952522e+00,2.142132e+00
3.586759e+00,1.183183e+00
5.849202e+00,1.714558e+00
8.731407e+00,2.091201e+00
6.584779e+00,1.754134e+00
3.075850e+00,1.170252e+00
2.567110e+00,1.070187e+00
5.126388e+00,1.627561e+00
6.149421e+00,1.782068e+00
7.108835e+00,1.889439e+00
1.940231e+00,5.895873e-01
1.969621e+00,6.808074e-01
7.450932e+00,2.000893e+00
7.260913e+00,2.078859e+00
5.984957e+00,1.770009e+00
6.041501e+00,1.810425e+00
1.870026e+00,5.991294e-01
6.140326e+00,1.861999e+00
2.176094e+00,8.026997e-01
8.825550e+00,2.100609e+00
6.136232e+00,1.838976e+00
