lambda_,t,N
8.328908e-01,2.607147e+00,1.467648e-01
5.895305e-01,1.943354e+00,3.219792e-01
1.015803e+00,1.009683e+00,3.314989e-01
1.525101e-01,2.879325e+00,7.131626e-01
1.229905e+00,7.351805e-01,3.528581e-01
1.690435e+00,2.632228e+00,1.475622e-02
1.726525e-01,1.404368e+00,7.414764e-01
6.170727e-01,6.978166e-01,6.279354e-01
1.460884e+00,1.483463e+00,1.507317e-01
9.507500e-01,2.668017e+00,7.974244e-02
8.584650e-01,2.412233e+00,1.611899e-01
9.117048e-01,2.894630e+00,9.239043e-02
1.908482e+00,5.981923e-01,3.070939e-01
3.339514e-01,8.966767e-01,7.055704e-01
1.463127e+00,2.558959e+00,3.926251e-02
6.102195e-01,2.755864e+00,1.649436e-01
9.145810e-01,2.059499e+00,1.351478e-01
7.480364e-01,2.462566e+00,1.751907e-01
1.253772e+00,6.050940e-01,4.648544e-01
1.920128e+00,1.041088e+00,1.398910e-01
1.879279e+00,1.863731e+00,1.452864e-02
4.199339e-01,2.298761e-01,9.056939e-01
1.034541e+00,7.951565e-01,4.250898e-01
8.611480e-01,2.149892e+00,1.156509e-01
1.385328e+00,2.442997e+00,4.895354e-02
1.835559e+00,2.903781e+00,-5.338199e-03
7.632481e-01,8.133753e-01,5.166772e-01
1.692297e+00,1.735986e+00,3.445011e-02
1.431126e-01,2.555156e+00,7.139836e-01
1.352995e+00,1.848281e+00,6.690976e-02
1.960301e+00,5.716782e-01,3.244491e-01
1.764215e-01,2.455854e+00,6.772173e-01
3.334491e-01,9.077045e-01,7.071019e-01
1.344658e+00,1.401188e+00,1.757201e-01
2.907629e-01,1.808908e+00,5.865200e-01
1.964029e+00,2.236505e+00,1.627842e-02
2.257039e-01,1.053425e+00,7.711344e-01
1.777665e+00,1.579242e+00,1.155714e-01
1.532772e+00,2.355569e+00,2.338896e-02
1.182659e-01,1.109299e+00,9.362862e-01
1.840576e+00,1.229606e+00,8.415626e-02
1.513686e+00,1.715992e+00,8.688510e-02
1.625563e+00,3.979578e-01,5.675222e-01
1.197937e+00,1.881171e+00,1.274398e-01
1.847473e+00,9.901122e-01,2.134432e-01
6.052333e-01,2.972803e+00,1.180600e-01
1.989618e+00,2.224757e+00,2.806657e-02
1.266744e+00,3.159433e-02,1.007610e+00
7.163924e-01,2.544770e+00,1.829801e-01
1.621109e+00,1.668035e+00,6.158332e-02
1.195762e+00,2.741417e-01,7.584844e-01
9.854391e-01,1.953737e+00,2.200142e-01
1.414032e+00,6.551050e-01,4.280933e-01
1.971412e-01,1.678485e+00,6.898858e-01
1.315801e+00,1.871785e+00,6.324774e-02
2.700648e-01,2.883558e-01,9.432224e-01
1.579251e+00,9.562267e-02,8.233883e-01
8.779591e-01,2.103485e+00,2.019211e-01
1.517737e+00,8.565993e-01,3.047308e-01
1.824325e+00,2.923564e+00,3.855408e-03
4.139080e-01,1.338441e+00,5.898107e-01
1.677970e+00,1.522618e+00,6.129493e-02
1.643011e+00,5.321302e-01,4.038511e-01
1.492014e+00,2.424138e+00,2.236635e-02
8.072618e-01,4.635125e-01,6.087210e-01
1.267655e+00,1.454091e+00,1.577760e-01
7.928132e-01,5.662862e-01,5.869543e-01
1.734550e+00,1.224593e-01,7.928963e-01
1.333086e+00,7.247810e-01,4.026305e-01
9.488581e-01,1.707244e+00,2.494353e-01
7.959518e-01,5.916646e-01,6.507432e-01
1.540052e+00,1.957789e+00,9.295172e-02
6.486990e-01,8.467097e-01,6.246305e-01
1.487899e+00,6.317762e-01,3.832847e-01
1.498147e+00,2.241618e+00,2.667450e-02
1.843586e+00,2.064983e+00,3.404572e-02
2.707435e-01,4.028747e-02,9.742232e-01
6.469310e-01,2.919030e+00,1.512151e-01
1.261719e+00,7.095704e-01,4.006107e-01
1.542443e+00,5.874139e-02,9.007513e-01
1.305625e+00,4.765161e-01,5.242550e-01
1.092034e-01,2.027475e+00,8.142455e-01
7.620894e-01,5.433411e-01,6.386572e-01
1.042664e+00,1.956681e-01,8.439131e-01
1.720302e+00,4.161425e-02,8.798417e-01
7.209471e-01,2.383115e+00,1.677969e-01
1.475738e+00,3.870876e-01,5.491949e-01
2.458473e-01,6.539938e-01,8.348710e-01
6.436501e-01,2.365592e+00,2.335358e-01
1.614741e+00,5.842354e-01,3.847628e-01
1.278958e+00,5.505372e-01,5.217049e-01
3.927359e-01,1.181905e+00,6.327557e-01
1.836378e+00,8.498491e-02,7.840385e-01
1.834908e+00,4.962545e-01,3.993818e-01
5.564861e-01,2.611868e+00,2.220150e-01
1.904073e+00,1.349701e+00,7.410288e-02
7.169897e-01,2.040677e+00,2.241846e-01
1.133776e+00,1.169333e+00,2.145919e-01
1.370418e+00,3.969806e-01,5.880109e-01
4.735305e-01,1.176780e+00,6.067120e-01
1.897729e+00,1.066063e+00,8.711473e-02
7.655415e-01,1.594399e+00,3.196492e-01
2.437619e-01,6.880853e-01,8.354987e-01
1.339336e+00,2.720866e+00,8.786363e-03
1.278040e+00,2.508253e+00,5.292173e-02
1.023680e+00,1.325771e+00,2.540980e-01
1.599664e+00,6.792880e-03,9.905030e-01
1.472492e+00,7.599352e-01,3.129016e-01
1.779810e+00,1.237375e+00,5.927805e-02
4.117987e-01,5.587608e-01,8.005726e-01
1.895417e+00,1.680346e-01,6.759070e-01
9.935795e-01,3.286959e-01,7.407578e-01
9.236041e-01,6.286415e-01,6.127293e-01
1.291651e-01,6.452208e-01,9.491387e-01
1.775851e+00,2.749029e+00,2.091092e-02
1.685043e+00,9.951036e-01,2.403599e-01
2.730194e-01,6.938878e-02,1.025697e+00
5.111549e-01,1.603913e+00,3.936707e-01
5.488036e-01,2.561439e+00,2.412495e-01
8.121202e-01,5.470252e-01,6.618470e-01
8.733805e-01,1.325161e+00,3.440407e-01
1.939393e-01,2.800367e+00,5.994635e-01
1.992021e+00,1.499049e-01,7.235272e-01
1.995932e+00,7.522567e-01,1.847594e-01
1.597486e+00,8.661524e-02,8.271961e-01
1.957237e+00,7.643073e-01,2.437570e-01
1.023347e+00,2.532812e+00,3.462517e-02
1.740857e+00,1.032227e-02,1.057043e+00
6.078437e-01,2.738105e-01,8.794882e-01
1.972136e+00,9.873610e-02,8.429896e-01
1.265659e+00,2.996044e+00,9.543877e-03
7.043282e-01,7.745934e-01,5.877544e-01
1.393222e+00,1.787243e+00,9.666350e-02
5.076576e-01,2.656340e+00,2.879424e-01
1.827021e+00,1.327906e+00,1.155717e-01
3.177192e-01,2.983283e+00,3.951400e-01
1.751069e+00,1.927387e+00,1.864320e-03
1.416608e+00,1.750868e+00,6.269106e-02
1.898350e+00,2.088095e+00,1.695447e-02
1.828493e+00,1.722076e+00,-6.417370e-02
9.549664e-01,1.588682e+00,2.482206e-01
1.290642e-01,4.311694e-01,9.619381e-01
1.008444e+00,2.975904e+00,6.129750e-02
5.443803e-01,1.712910e+00,3.704182e-01
5.869952e-01,1.471020e+00,4.015921e-01
1.654904e+00,2.004122e+00,2.107925e-02
1.033370e+00,6.632595e-01,4.814359e-01
1.879689e+00,2.909184e+00,2.551109e-02
1.171602e+00,2.787708e+00,1.547020e-02
1.721424e+00,5.342161e-01,4.267426e-01
1.732330e+00,1.587052e+00,6.296373e-02
1.346906e+00,8.469672e-01,2.735454e-01
2.930481e-01,2.012752e+00,5.434228e-01
7.683318e-01,2.405456e+00,1.780852e-01
1.089456e+00,8.179725e-01,3.913494e-01
1.533748e+00,2.525031e+00,-1.851626e-02
1.838844e+00,1.768382e+00,1.069863e-01
5.836927e-01,3.848297e-01,8.111546e-01
2.814424e-01,2.137480e+00,5.461242e-01
8.887298e-01,1.173204e+00,3.409006e-01
1.315584e+00,2.074534e+00,8.815015e-02
1.856135e-01,2.190794e+00,7.444421e-01
7.162396e-01,4.448334e-02,9.844146e-01
6.350356e-01,1.111054e+00,4.829433e-01
1.778231e+00,7.645755e-01,2.888875e-01
1.487551e+00,2.710357e+00,-9.455049e-03
1.508405e+00,2.079140e+00,5.898877e-02
1.796469e+00,2.479318e+00,4.171517e-02
1.690767e+00,2.381498e+00,-9.991189e-03
1.041772e+00,5.953107e-01,5.635951e-01
3.760491e-01,7.642858e-01,7.327433e-01
1.931489e+00,5.765917e-01,3.783006e-01
1.181515e+00,2.730391e+00,-2.220285e-02
1.280168e+00,2.419260e+00,7.485951e-02
1.922470e+00,1.855954e+00,-7.530813e-03
9.343957e-01,1.108897e+00,3.300943e-01
3.815040e-01,7.005532e-01,7.494972e-01
1.241854e+00,2.968439e+00,3.823942e-02
1.608347e+00,1.954768e+00,-7.747206e-03
2.186358e-01,2.632495e+00,5.986736e-01
1.772705e+00,3.598968e-01,5.855562e-01
1.017184e+00,1.222858e+00,2.848857e-01
1.460929e+00,2.548167e+00,4.295910e-02
1.191070e+00,2.262326e+00,4.612558e-02
1.004996e+00,1.860035e+00,1.175207e-01
7.484690e-01,2.008416e+00,2.424223e-01
5.660992e-01,6.341270e-01,6.979254e-01
5.785484e-01,1.708415e-01,9.515260e-01
2.940119e-01,1.605396e+00,6.190110e-01
1.890824e+00,2.866299e+00,3.415305e-02
1.565050e-01,2.654778e+00,6.511221e-01
1.226736e+00,1.302000e+00,1.678736e-01
6.856086e-01,2.271759e+00,1.780035e-01
1.642371e+00,1.392504e-01,8.022248e-01
1.276619e+00,2.251553e+00,6.191913e-02
3.205633e-01,2.545436e+00,4.523995e-01
1.420287e-01,2.649410e+00,6.941359e-01
4.524324e-01,1.280032e+00,5.741574e-01
1.742030e+00,2.741511e+00,3.660176e-02
1.253195e+00,2.685886e+00,8.710379e-02
1.860854e+00,1.888956e+00,-1.574455e-02
9.026949e-01,3.032087e-01,7.350848e-01
3.858081e-01,1.636013e-01,9.648918e-01
1.567798e+00,1.041436e+00,1.264275e-01
1.442968e-01,2.896357e+00,6.710567e-01
8.587542e-01,2.132815e-01,8.189341e-01
1.331041e+00,2.310995e+00,-4.269901e-02
8.990133e-01,1.936285e+00,2.070222e-01
9.729868e-01,1.304146e+00,2.086189e-01
7.701500e-01,2.163825e+00,1.313005e-01
5.351629e-01,1.925053e+00,3.387127e-01
1.719578e+00,7.077170e-01,2.929113e-01
1.357600e+00,1.568055e+00,8.734458e-02
1.684841e+00,1.126649e+00,1.554647e-01
8.868730e-01,2.738657e+00,8.639499e-02
8.896066e-01,5.608964e-01,5.876517e-01
5.509164e-01,5.329516e-01,7.458102e-01
1.923722e+00,2.474560e+00,2.122671e-02
9.344328e-01,2.831165e+00,2.115798e-02
1.943106e+00,5.121606e-01,3.916842e-01
1.643484e+00,7.856244e-02,8.224211e-01
8.488463e-01,2.239578e+00,1.097786e-01
1.701764e+00,2.846433e+00,-5.157434e-02
3.064230e-01,3.326621e-01,8.846549e-01
1.977940e+00,2.861497e-01,6.054506e-01
7.595799e-01,3.845900e-01,7.317165e-01
1.022420e+00,9.574870e-01,3.954607e-01
2.258724e-01,2.507161e-01,9.026721e-01
7.690501e-01,2.292689e-01,8.507186e-01
1.224207e+00,2.156999e+00,5.953228e-02
1.675301e+00,1.053765e+00,1.825958e-01
2.815255e-01,9.228767e-01,7.770510e-01
1.755696e+00,1.335215e+00,1.113771e-01
8.950077e-01,1.918003e-01,8.022284e-01
1.844155e+00,2.779536e+00,-1.513257e-02
1.172866e+00,1.080583e+00,2.502615e-01
1.046475e+00,3.182025e-02,9.456779e-01
1.649847e+00,7.548330e-02,9.074348e-01
9.292130e-01,1.111844e+00,3.589152e-01
1.431980e+00,2.930281e+00,-2.351003e-03
9.165664e-01,2.574969e+00,1.175941e-01
1.227061e+00,3.237717e-01,6.433459e-01
1.479775e+00,2.455784e-01,7.368777e-01
1.921105e+00,1.295296e+00,1.172913e-01
5.669441e-01,1.887225e+00,3.432533e-01
3.425352e-01,7.209482e-02,9.862137e-01
1.843651e+00,8.403623e-01,2.003786e-01
1.701531e-01,9.291313e-01,8.615620e-01
1.215965e+00,1.943615e+00,8.063024e-02
1.195190e+00,2.551863e+00,4.167630e-02
1.028195e+00,1.394484e+00,2.329610e-01
1.841293e+00,6.883030e-01,2.607067e-01
8.346139e-01,2.492663e+00,1.484425e-01
1.244454e+00,2.168970e+00,7.891441e-02
5.190325e-01,7.898588e-01,7.078554e-01
5.899890e-01,9.478029e-01,5.662674e-01
1.384480e+00,1.375251e+00,1.057682e-01
1.684357e+00,1.578404e+00,6.700569e-02
1.978429e+00,6.264262e-01,3.407902e-01
1.405901e+00,1.734801e+00,1.471928e-01
1.443959e+00,7.798564e-01,3.194967e-01
4.112074e-01,1.201354e-01,9.459767e-01
1.708542e+00,7.591026e-01,2.891849e-01
1.938286e+00,2.557244e+00,-3.297245e-02
1.910142e+00,3.123249e-01,5.983487e-01
1.063461e+00,1.539076e+00,2.079272e-01
9.320766e-01,1.192567e+00,3.056121e-01
1.954160e+00,1.232370e+00,1.028224e-01
1.850694e+00,2.153862e+00,-3.410772e-02
3.411128e-01,7.747127e-01,7.792782e-01
3.395740e-01,2.726092e-01,8.920141e-01
1.008939e+00,2.720473e+00,9.619832e-02
1.477796e+00,7.702100e-01,3.695973e-01
7.833518e-01,1.846384e+00,2.665274e-01
1.751383e+00,9.528016e-01,1.723712e-01
1.878692e+00,2.221292e+00,8.924670e-03
1.149728e+00,1.160029e+00,2.560378e-01
8.887709e-01,2.899461e-01,7.710996e-01
3.098129e-01,4.425755e-01,8.576270e-01
1.339337e+00,1.648412e+00,8.213856e-02
2.172304e-01,1.431467e+00,7.148670e-01
1.831782e+00,3.392594e-01,5.417274e-01
1.046271e+00,4.796419e-01,6.553011e-01
6.216206e-01,9.901449e-01,5.590558e-01
1.070465e-01,2.754289e+00,7.677080e-01
6.376072e-01,8.144287e-02,9.500002e-01
1.270306e+00,1.617564e+00,1.256570e-01
1.921419e+00,2.996303e+00,-1.854760e-02
8.019950e-01,1.662833e+00,3.140093e-01
2.027697e-01,1.297146e+00,7.701864e-01
6.277123e-01,3.425086e-01,7.912464e-01
1.142323e+00,2.567405e+00,6.095411e-02
6.634904e-01,2.549291e+00,1.849429e-01
2.265670e-01,2.338891e-01,9.752615e-01
5.319945e-01,2.735922e-01,8.810537e-01
1.668325e+00,1.704287e+00,6.382653e-02
1.170273e+00,1.798862e+00,1.929695e-01
6.320307e-01,2.948738e+00,1.227217e-01
8.033323e-01,9.033546e-01,4.776642e-01
1.611979e+00,1.442198e+00,5.595868e-02
1.902739e+00,1.409654e+00,4.857302e-02
9.791449e-01,2.157482e+00,1.307532e-01
2.928806e-01,1.809458e-01,9.555839e-01
1.336986e+00,1.986765e+00,1.013545e-01
1.800298e+00,2.318252e-01,6.395281e-01
1.662760e+00,1.765981e+00,5.999802e-02
3.790255e-01,8.990842e-02,9.246963e-01
1.585607e+00,1.840632e+00,-3.597346e-03
1.966131e+00,1.898827e+00,-3.838066e-02
1.609535e+00,1.564670e+00,8.952978e-02
9.815557e-01,2.637380e+00,5.752378e-02
1.197873e+00,2.285387e+00,2.598845e-02
6.992793e-01,2.691169e+00,1.403431e-01
1.558446e-01,1.072398e+00,8.849357e-01
4.134853e-01,7.761679e-01,7.118453e-01
5.830932e-01,2.652789e+00,1.969393e-01
8.390106e-01,2.489005e+00,1.454239e-01
1.152071e+00,1.239494e+00,2.535075e-01
8.311211e-01,1.147461e-01,8.582893e-01
8.889566e-01,1.378708e+00,3.014303e-01
4.225313e-01,1.791097e+00,4.690720e-01
7.103164e-01,2.770299e+00,7.155813e-02
1.954154e+00,6.511487e-01,2.641246e-01
5.100012e-01,2.310355e+00,3.068829e-01
2.142305e-01,2.006326e+00,6.542949e-01
1.555219e+00,7.803782e-01,2.652844e-01
8.065368e-01,2.342096e+00,1.085141e-01
6.754194e-01,1.904694e+00,2.617442e-01
5.562386e-01,2.915892e+00,1.926987e-01
1.731973e+00,1.434157e+00,5.509129e-02
3.263424e-01,7.842313e-01,8.031506e-01
3.737025e-01,1.914898e+00,4.647333e-01
1.426996e+00,4.483636e-01,5.288768e-01
1.638448e-01,8.301795e-01,9.428416e-01
9.033865e-01,1.792311e-01,8.735501e-01
8.774276e-01,5.474423e-01,6.465318e-01
4.034990e-01,1.628028e+00,5.712733e-01
1.956186e+00,2.291157e+00,2.342300e-02
3.611456e-01,1.950317e+00,5.108491e-01
8.893627e-01,1.156035e+00,3.704023e-01
6.250466e-01,2.975720e+00,1.537403e-01
8.654794e-01,1.116649e+00,4.108720e-01
6.715839e-01,1.085510e+00,5.360191e-01
7.462423e-01,2.277609e+00,2.120572e-01
1.189714e+00,5.831406e-01,5.356349e-01
1.999540e+00,1.952248e+00,1.206632e-02
1.007412e+00,1.259303e+00,2.746901e-01
1.186613e+00,3.761978e-01,6.339818e-01
1.692486e+00,1.479089e+00,1.125261e-01
9.672932e-01,1.916068e+00,1.323017e-01
8.985749e-01,1.291497e+00,3.559968e-01
2.535238e-01,1.180210e+00,7.398913e-01
9.502958e-01,1.808390e+00,1.736097e-01
1.929945e+00,1.797037e+00,6.661437e-02
1.244693e+00,1.801038e+00,1.221859e-01
1.466509e+00,1.432576e+00,1.474435e-01
3.961118e-01,2.719166e+00,2.972704e-01
3.810408e-01,1.166530e+00,6.499732e-01
6.264254e-01,3.451291e-01,7.837369e-01
4.111885e-01,2.023361e-01,9.448693e-01
1.446709e+00,5.270945e-01,5.065777e-01
1.538248e+00,2.212067e+00,4.232787e-02
2.727674e-01,2.253800e+00,5.434593e-01
9.178450e-01,1.479654e+00,2.598684e-01
8.403236e-01,2.510643e+00,1.372917e-01
7.676633e-01,1.507946e-01,8.467839e-01
1.094625e+00,2.284369e+00,1.985657e-02
1.069078e+00,1.309456e+00,1.787527e-01
1.675504e+00,2.021461e+00,5.850507e-02
1.244670e-01,2.363844e+00,7.966607e-01
1.275724e+00,1.576713e+00,1.126853e-01
1.549787e+00,2.813239e-01,6.087883e-01
6.481616e-01,1.225479e+00,4.490932e-01
1.405036e+00,1.605540e+00,1.213366e-01
2.712121e-01,2.328983e+00,5.001962e-01
1.575791e+00,2.910441e+00,-3.412970e-02
1.519672e+00,1.439281e+00,1.212953e-01
1.619410e+00,1.909224e+00,3.479996e-02
1.879574e+00,2.091262e+00,4.706177e-03
1.917535e+00,1.366595e+00,5.350082e-02
1.825693e+00,2.285785e+00,-2.112716e-02
7.587587e-01,1.565146e+00,2.879644e-01
4.938549e-01,1.117831e+00,5.343080e-01
1.621346e+00,1.165051e+00,1.552714e-01
1.767738e+00,3.419722e-01,5.554125e-01
1.541864e+00,2.631377e+00,2.855037e-02
6.575716e-01,1.985612e+00,2.390653e-01
1.198774e+00,2.946347e+00,7.518356e-02
5.823915e-01,2.176317e+00,2.597077e-01
1.845139e+00,2.371848e+00,1.672216e-02
5.315039e-01,2.591376e+00,2.578290e-01
1.056119e+00,1.653591e+00,1.488423e-01
1.770263e+00,2.600965e+00,5.716195e-02
3.888719e-01,1.054686e+00,6.430623e-01
7.579943e-01,2.426766e+00,1.360536e-01
1.294840e+00,5.782933e-01,4.632255e-01
1.461628e-01,1.848972e-01,9.550928e-01
4.699440e-01,8.041696e-01,6.883873e-01
9.205597e-01,2.744470e+00,5.864434e-02
1.672663e+00,6.390533e-01,2.944748e-01
6.284182e-01,8.804196e-01,5.582221e-01
1.422220e-01,3.192943e-02,9.763458e-01
7.495952e-01,1.136129e+00,4.405431e-01
7.787253e-01,2.075615e+00,2.235856e-01
1.232239e+00,2.112810e+00,6.758911e-02
4.757728e-01,7.885098e-01,6.326963e-01
1.264873e-01,1.858179e-01,9.067634e-01
6.850722e-01,1.694360e+00,3.652144e-01
1.979736e+00,1.028987e+00,1.160611e-01
1.105723e+00,2.780253e+00,1.526622e-02
1.509545e+00,2.230096e+00,4.635223e-03
1.316287e+00,1.011199e+00,2.953820e-01
1.542253e+00,8.314205e-01,2.751767e-01
1.960064e+00,8.143586e-01,1.540351e-01
3.172642e-01,9.831426e-01,7.351770e-01
1.522646e-01,1.513104e+00,7.721122e-01
1.707000e+00,2.517139e+00,-2.540406e-02
1.574430e-01,2.501165e+00,6.530179e-01
1.208194e+00,7.497048e-01,4.500906e-01
1.682650e+00,2.910276e+00,5.098206e-02
1.346157e+00,2.536889e+00,1.281084e-02
1.989618e+00,2.628826e+00,-8.044186e-03
1.163445e+00,6.225881e-01,4.488573e-01
9.669091e-01,1.142174e+00,3.036728e-01
1.738908e+00,6.672387e-01,3.324568e-01
1.901422e+00,2.634462e+00,1.707542e-02
1.947940e+00,7.575072e-01,2.277988e-01
5.885531e-01,2.718854e-01,8.308494e-01
6.967227e-01,1.936122e+00,2.968119e-01
1.991322e+00,2.298734e+00,8.832927e-03
1.769866e+00,1.856519e+00,3.998811e-02
4.104729e-01,2.434590e+00,3.934635e-01
9.795548e-01,1.423499e+00,2.583482e-01
1.355485e+00,1.778298e+00,8.801450e-02
1.482453e+00,1.070655e+00,2.576138e-01
1.258436e+00,9.796913e-01,3.051881e-01
1.913126e+00,1.268119e+00,4.519010e-02
1.659257e+00,2.708940e+00,3.600678e-02
1.683762e+00,1.047016e+00,1.804507e-01
1.926482e-01,5.185380e-01,9.031187e-01
1.251263e+00,1.644913e+00,1.533090e-01
1.790008e+00,2.682008e+00,-5.677988e-02
1.077758e+00,1.578832e+00,1.940941e-01
7.996087e-01,2.270679e+00,8.605759e-02
2.816562e-01,2.283551e+00,4.970371e-01
8.609906e-01,1.843593e+00,1.724931e-01
1.968206e+00,1.750174e+00,5.619562e-02
6.008986e-01,2.438340e+00,2.662091e-01
8.552096e-01,2.923098e+00,5.009168e-02
1.052503e+00,7.376810e-01,5.038590e-01
1.157084e+00,2.357187e+00,6.967452e-02
1.961091e-01,2.046765e+00,6.168021e-01
5.728389e-01,2.402152e+00,2.759909e-01
2.985313e-01,2.753875e-01,8.564950e-01
5.118202e-01,1.242494e+00,5.427263e-01
1.374191e+00,6.559323e-01,3.774681e-01
5.400628e-01,3.241207e-01,8.559579e-01
1.430271e+00,1.985307e+00,9.193011e-02
1.674483e+00,2.854512e+00,3.272956e-02
2.993434e-01,6.773313e-01,8.357113e-01
5.254883e-01,9.484220e-01,5.556568e-01
1.438696e+00,5.949132e-02,9.433926e-01
6.580893e-01,2.060817e+00,2.509239e-01
1.571484e+00,7.498547e-01,3.002667e-01
1.990735e+00,1.847733e+00,3.549209e-02
4.324718e-01,1.333071e+00,5.486901e-01
1.600721e+00,1.701609e+00,9.871039e-02
1.962007e+00,2.674219e+00,1.228986e-02
5.748207e-01,2.205102e+00,3.080483e-01
1.659427e+00,1.448478e+00,1.208371e-01
1.098713e+00,2.854534e+00,-4.200505e-03
1.575551e+00,7.339546e-01,3.005912e-01
1.656201e+00,1.941304e+00,5.294115e-02
1.618209e+00,1.091043e+00,2.050091e-01
9.045519e-01,2.328085e-01,8.492287e-01
1.832959e+00,1.898335e+00,6.586433e-02
4.009320e-01,2.028331e+00,4.064100e-01
3.212889e-01,2.760561e+00,4.061508e-01
2.419850e-01,2.598959e+00,5.457936e-01
1.220463e+00,1.447044e+00,2.521433e-01
3.045009e-01,7.873393e-01,7.907949e-01
1.932516e+00,1.226652e+00,1.409803e-01
1.632186e+00,1.388171e+00,9.989558e-02
1.604874e+00,6.024591e-01,3.544812e-01
7.758717e-01,1.551314e+00,2.813907e-01
1.754700e+00,2.864210e+00,4.545545e-02
1.283638e+00,1.367997e+00,1.062856e-01
6.276413e-01,1.894866e+00,2.693836e-01
1.287578e+00,1.728384e+00,5.792708e-02
8.520144e-01,1.682987e+00,2.410291e-01
9.586503e-01,2.918578e+00,1.968095e-02
1.089936e+00,6.914608e-01,4.748047e-01
1.990360e+00,5.187563e-01,3.105927e-01
5.787390e-01,1.780741e+00,3.664736e-01
3.786993e-01,1.934640e+00,4.506175e-01
7.196433e-01,8.060341e-01,5.191485e-01
1.321930e+00,1.024259e+00,2.565499e-01
1.157371e+00,5.210729e-01,5.207853e-01
2.551766e-01,2.738999e+00,4.743199e-01
1.125549e+00,3.437139e-01,6.729661e-01
5.526213e-01,2.557680e-01,8.627377e-01
5.652781e-01,1.214305e+00,5.146026e-01
1.131472e+00,7.537329e-01,4.668305e-01
2.468259e-01,2.713615e+00,4.581063e-01
9.472073e-01,7.221229e-01,4.975643e-01
1.482027e+00,1.726143e+00,5.794712e-02
1.916251e+00,2.652908e+00,-2.450799e-02
1.574951e+00,2.334762e+00,1.745814e-03
