n,T,V,P
3.896296e+00,2.393463e+02,9.549972e+00,8.118704e+02
3.891195e+00,4.212690e+02,4.016011e+00,3.393576e+03
5.719258e+00,3.758734e+02,1.019928e-01,1.752354e+05
1.543560e+00,4.213277e+02,9.102471e+00,5.940107e+02
4.918815e+00,4.541407e+02,4.876457e-01,3.808522e+04
6.626321e+00,4.469329e+02,1.059766e+00,2.323351e+04
8.785795e+00,4.263409e+02,4.297697e+00,7.246234e+03
8.357634e+00,2.339618e+02,3.023975e+00,5.376013e+03
3.698072e+00,2.263368e+02,4.070589e+00,1.709556e+03
4.866356e+00,2.402644e+02,6.463612e+00,1.503931e+03
3.674324e-01,2.155526e+02,3.692110e+00,1.783472e+02
2.651033e+00,3.343534e+02,1.287175e+00,5.725231e+03
1.039411e+00,4.727221e+02,7.952162e+00,5.137099e+02
1.991534e+00,3.535659e+02,1.691589e+00,3.460774e+03
3.699820e+00,1.034156e+02,4.656430e+00,6.831617e+02
4.256875e+00,1.636539e+02,1.174963e+00,4.929501e+03
6.373413e+00,4.781179e+02,7.317303e+00,3.462311e+03
3.223812e+00,1.006345e+02,2.907885e+00,9.275761e+02
5.432702e+00,2.497077e+02,3.150892e+00,3.579517e+03
4.835982e+00,2.601878e+02,8.218155e+00,1.272938e+03
6.684706e+00,4.703826e+02,6.847770e+00,3.817635e+03
8.412985e+00,1.353945e+02,8.409903e+00,1.126083e+03
5.358419e+00,4.961032e+02,4.162102e+00,5.310140e+03
8.228731e+00,2.474912e+02,1.459258e+00,1.160301e+04
1.646392e+00,3.070026e+02,6.936830e+00,6.057929e+02
3.615892e+00,1.493919e+02,5.248534e+00,8.556861e+02
9.974519e+00,3.520973e+02,7.071209e+00,4.129249e+03
3.245804e+00,2.422043e+02,8.181753e+00,7.988545e+02
2.789583e+00,3.873932e+02,2.837041e+00,3.166909e+03
6.974800e+00,4.402514e+02,9.087804e+00,2.809206e+03
5.853180e-01,3.656670e+02,2.959111e+00,6.013488e+02
2.684949e+00,1.242958e+02,4.840889e+00,5.731621e+02
1.120666e+00,3.721773e+02,4.861385e-01,7.133066e+03
4.981298e-01,3.529141e+02,3.869565e+00,3.777108e+02
1.591967e+00,1.841442e+02,1.282883e+00,1.899832e+03
1.596403e-01,4.952281e+02,2.195702e+00,2.993536e+02
4.996227e+00,2.954416e+02,7.365993e-01,1.666067e+04
9.204481e+00,2.383793e+02,1.765961e+00,1.032991e+04
5.764972e+00,4.606714e+02,1.268529e-01,1.740597e+05
8.224514e+00,3.066448e+02,2.661290e-01,7.878866e+04
1.160136e+00,3.441584e+02,3.279807e+00,1.012113e+03
1.461658e-01,4.443711e+02,4.691611e+00,1.151011e+02
7.543652e+00,2.570164e+02,1.634816e+00,9.860153e+03
1.358108e+00,1.777675e+02,3.685770e+00,5.445883e+02
8.136721e+00,2.121359e+02,4.665994e+00,3.075598e+03
5.754332e+00,1.112718e+02,6.641522e+00,8.015347e+02
1.111492e+00,1.931372e+02,1.849627e-01,9.649356e+03
7.614459e+00,3.226984e+02,9.334329e+00,2.188582e+03
5.979939e-01,2.071544e+02,8.467352e+00,1.216335e+02
6.503413e+00,1.598440e+02,8.420436e+00,1.026392e+03
2.360645e+00,3.990256e+02,2.699058e+00,2.901545e+03
3.243538e+00,3.783178e+02,2.352478e+00,4.336709e+03
7.016817e+00,3.533924e+02,2.245897e+00,9.179468e+03
8.494578e+00,1.625784e+02,2.801849e+00,4.097981e+03
3.964512e-01,3.100926e+02,5.820362e+00,1.756067e+02
9.715341e+00,4.566957e+02,6.597921e+00,5.590979e+03
9.391480e+00,1.230502e+02,9.127557e+00,1.052621e+03
1.891262e+00,4.527400e+02,1.604756e+00,4.436103e+03
1.930281e+00,3.035509e+02,2.145158e+00,2.270925e+03
2.657215e+00,1.943986e+02,7.891889e+00,5.441879e+02
6.281531e+00,4.765517e+02,7.476453e+00,3.328817e+03
9.276556e+00,4.755432e+02,3.194540e+00,1.148097e+04
9.068670e+00,2.170855e+02,3.808901e-01,4.297191e+04
2.574166e+00,2.082342e+02,5.696616e+00,7.823152e+02
9.507684e+00,2.240082e+02,8.888865e-01,1.992060e+04
8.581000e+00,4.921722e+02,3.293710e+00,1.066055e+04
6.297277e+00,4.242258e+02,7.153738e+00,3.104752e+03
9.698192e+00,4.286466e+02,2.828662e+00,1.221853e+04
2.111568e+00,3.351183e+02,5.859017e+00,1.004127e+03
3.259078e+00,4.047437e+02,1.310376e+00,8.369294e+03
6.739197e+00,4.735717e+02,4.601819e+00,5.765996e+03
3.676210e+00,3.210739e+02,1.264072e+00,7.763248e+03
3.842452e+00,1.896857e+02,1.452574e+00,4.171718e+03
4.200991e+00,1.538592e+02,1.991390e+00,2.698540e+03
4.220417e+00,1.496548e+02,9.363555e+00,5.608094e+02
7.349260e+00,3.529039e+02,7.956393e+00,2.710153e+03
1.722442e-01,1.254183e+02,2.397329e+00,7.491831e+01
4.682279e-01,4.638519e+02,9.247092e+00,1.952727e+02
5.594871e+00,4.122507e+02,4.893470e+00,3.918723e+03
6.765125e+00,3.443250e+02,1.894822e+00,1.022082e+04
5.904818e+00,3.695821e+02,1.220575e+00,1.486493e+04
1.868084e+00,3.653245e+02,6.323204e+00,8.973214e+02
4.256650e+00,4.516662e+02,5.772428e+00,2.769090e+03
8.086041e+00,1.979202e+02,7.779040e+00,1.710449e+03
1.006093e+00,1.200816e+02,9.329697e+00,1.076606e+02
8.752724e-01,3.280120e+02,2.491607e+00,9.579957e+02
5.156872e+00,1.977963e+02,5.995828e+00,1.414377e+03
2.890353e+00,3.111475e+02,6.186085e+00,1.208680e+03
9.774024e+00,1.509889e+02,8.749388e+00,1.402332e+03
9.620833e+00,2.589419e+02,9.372003e+00,2.210001e+03
7.283466e+00,4.965706e+02,6.167788e+00,4.875281e+03
5.475585e+00,1.454624e+02,3.944423e+00,1.678834e+03
1.620463e+00,1.713374e+02,6.181027e+00,3.734569e+02
1.925297e+00,2.782358e+02,3.462152e+00,1.286396e+03
1.569619e+00,1.731789e+02,1.645077e+00,1.373767e+03
9.454994e+00,4.145414e+02,1.149868e+00,2.833944e+04
6.969473e+00,1.219216e+02,7.008207e+00,1.008054e+03
4.181048e+00,4.994572e+02,5.005666e+00,3.468419e+03
6.527748e+00,1.951740e+02,7.820166e+00,1.354502e+03
4.722412e+00,4.833268e+02,9.117590e+00,2.081300e+03
9.660894e+00,1.746068e+02,6.381120e+00,2.197817e+03
6.144170e+00,2.686451e+02,3.342360e+00,4.105811e+03
5.118133e+00,2.157013e+02,5.202456e-01,1.764274e+04
5.866889e+00,4.648560e+02,5.081335e+00,4.462297e+03
6.048721e+00,1.024008e+02,9.533783e+00,5.401464e+02
3.554000e+00,2.328958e+02,8.514067e+00,8.082619e+02
3.174039e+00,3.510604e+02,4.349677e+00,2.129841e+03
1.865324e-01,3.460092e+02,9.183079e+00,5.843374e+01
8.107142e+00,3.025714e+02,9.583199e+00,2.128115e+03
8.853447e+00,4.845521e+02,5.216608e+00,6.837143e+03
5.260863e+00,1.838473e+02,9.162830e+00,8.775961e+02
5.869794e+00,4.510618e+02,7.023228e-01,3.134240e+04
4.561402e+00,3.991229e+02,9.668910e+00,1.565444e+03
5.847471e+00,1.539763e+02,8.067634e+00,9.278668e+02
7.292529e+00,1.503185e+02,9.025593e+00,1.009776e+03
7.278373e+00,2.160137e+02,6.842317e+00,1.910392e+03
5.811454e+00,4.281863e+02,4.510393e+00,4.586836e+03
8.896469e+00,3.468789e+02,2.369482e+00,1.082810e+04
9.459907e+00,1.778525e+02,2.845724e+00,4.915458e+03
8.335521e+00,2.872311e+02,4.524445e+00,4.399556e+03
9.236210e+00,3.035477e+02,8.777809e+00,2.655490e+03
3.827299e+00,2.871250e+02,4.343866e-01,2.103280e+04
3.930147e+00,3.373882e+02,1.464071e+00,7.529854e+03
2.869133e+00,3.783816e+02,6.627904e+00,1.361803e+03
6.846400e+00,3.566347e+02,9.153869e+00,2.217640e+03
8.920178e+00,1.518354e+02,9.546155e+00,1.179582e+03
6.193526e+00,3.280725e+02,2.968189e+00,5.691494e+03
6.423564e+00,4.676383e+02,3.832024e+00,6.517303e+03
3.876023e+00,1.666873e+02,3.407489e+00,1.576392e+03
7.588997e+00,1.247750e+02,7.430392e+00,1.059523e+03
9.574522e+00,1.232360e+02,9.135122e+00,1.073867e+03
6.935224e+00,3.733725e+02,5.305037e+00,4.058115e+03
2.211868e+00,2.606276e+02,9.539342e+00,5.024250e+02
5.400895e+00,1.726997e+02,1.656684e-01,4.680883e+04
9.129940e+00,1.365996e+02,2.953231e+00,3.510992e+03
7.273140e+00,2.585775e+02,8.778550e+00,1.781147e+03
8.424373e+00,1.364116e+02,7.945732e+00,1.202444e+03
8.603800e+00,4.499922e+02,1.905440e+00,1.689313e+04
3.750648e+00,3.894819e+02,6.521585e+00,1.862303e+03
1.420821e+00,4.368069e+02,7.999868e-01,6.449945e+03
6.516938e+00,2.986828e+02,7.295612e-01,2.218207e+04
7.736599e+00,1.940281e+02,6.537892e+00,1.908917e+03
2.522316e+00,2.852006e+02,1.116248e+00,5.357956e+03
7.702276e+00,3.948267e+02,8.796727e-01,2.874184e+04
2.345546e+00,1.076753e+02,2.672389e+00,7.857247e+02
8.034706e+00,1.009160e+02,1.067421e+00,6.315453e+03
3.637293e+00,3.040199e+02,3.407084e+00,2.698408e+03
5.337229e+00,2.207136e+02,8.257561e+00,1.186050e+03
4.064312e+00,2.910846e+02,7.701390e-01,1.277165e+04
8.100885e-01,2.107836e+02,6.277463e+00,2.261492e+02
5.828169e+00,2.841417e+02,2.774506e+00,4.962396e+03
6.632398e+00,2.460290e+02,1.622643e+00,8.360728e+03
9.473727e+00,1.304406e+02,2.078716e+00,4.942523e+03
5.243703e-01,3.407512e+02,2.084586e-01,7.126325e+03
8.137474e+00,1.999254e+02,2.003132e-01,6.752398e+04
8.204861e+00,2.744001e+02,9.928360e+00,1.885333e+03
7.607362e+00,3.669712e+02,8.167740e+00,2.841673e+03
6.514886e+00,2.281353e+02,4.863548e+00,2.540716e+03
7.824892e+00,3.183108e+02,3.843348e+00,5.388029e+03
4.812735e+00,3.804526e+02,4.732157e+00,3.216943e+03
4.875709e-01,4.170861e+02,6.730169e+00,2.512161e+02
3.126871e+00,2.468536e+02,8.524572e+00,7.528124e+02
8.262889e+00,2.270948e+02,1.263104e+00,1.235123e+04
8.844769e+00,1.968508e+02,6.918917e+00,2.092163e+03
1.475599e+00,3.986536e+02,2.070062e+00,2.362603e+03
2.336575e+00,4.975118e+02,1.912362e+00,5.053857e+03
3.998228e+00,3.016326e+02,9.926087e-01,1.010131e+04
2.998257e+00,3.160468e+02,2.030430e+00,3.880094e+03
5.598745e+00,3.747474e+02,6.103630e+00,2.857927e+03
1.771098e+00,3.612673e+02,6.853203e+00,7.762249e+02
7.947493e+00,4.871361e+02,6.693436e+00,4.808851e+03
8.970258e+00,2.037861e+02,9.320271e-01,1.630651e+04
3.990215e+00,1.056783e+02,6.063853e-01,5.781539e+03
5.381446e-01,1.781846e+02,9.796872e+00,8.137514e+01
1.789902e+00,2.127357e+02,5.487540e+00,5.769019e+02
5.131620e+00,2.728624e+02,7.088281e+00,1.642356e+03
2.997604e+00,1.072705e+02,8.808799e+00,3.034923e+02
6.155231e+00,4.681990e+02,3.495091e+00,6.855298e+03
9.482454e+00,1.496883e+02,3.863929e+00,3.054143e+03
2.305011e+00,4.945635e+02,1.379139e+00,6.872218e+03
2.596979e+00,4.716383e+02,4.183826e+00,2.433962e+03
3.009596e+00,3.765952e+02,1.896270e-01,4.969272e+04
4.895624e+00,4.188243e+02,2.172160e-01,7.847985e+04
2.205807e+00,1.366953e+02,1.018646e-01,2.460979e+04
5.886279e+00,3.222660e+02,4.647256e-01,3.393664e+04
4.427971e+00,1.663276e+02,6.975128e+00,8.778635e+02
4.471149e+00,1.101763e+02,5.625749e+00,7.280097e+02
6.526373e+00,3.155740e+02,9.484264e+00,1.805425e+03
8.292846e+00,1.793500e+02,7.031715e+00,1.758546e+03
9.214637e+00,3.596567e+02,9.247867e+00,2.979441e+03
5.278729e+00,1.397597e+02,1.550415e+00,3.956155e+03
9.063121e+00,1.658854e+02,2.692557e+00,4.642276e+03
5.912961e+00,4.602178e+02,2.928154e+00,7.726531e+03
9.488972e+00,3.462269e+02,9.356376e+00,2.919325e+03
7.187400e-01,1.594491e+02,9.100534e+00,1.046977e+02
7.609365e+00,2.470719e+02,2.977002e+00,5.250524e+03
4.447684e+00,3.911788e+02,5.630970e+00,2.568834e+03
9.067324e+00,1.535944e+02,1.638088e+00,7.068500e+03
3.024898e+00,4.117551e+02,9.487624e+00,1.091446e+03
4.893203e+00,2.491449e+02,4.212186e+00,2.406288e+03
9.137916e+00,4.923163e+02,3.227616e+00,1.158829e+04
5.402626e+00,1.008309e+02,7.005166e+00,6.465322e+02
2.669426e+00,1.259239e+02,4.793183e+00,5.830586e+02
4.811008e+00,1.543930e+02,2.028835e-01,3.043877e+04
6.988916e+00,4.965197e+02,4.122001e+00,6.999198e+03
4.278758e+00,2.521779e+02,4.796152e-01,1.870432e+04
2.514592e+00,3.060163e+02,6.473456e+00,9.882937e+02
4.485597e+00,2.844039e+02,6.713895e+00,1.579760e+03
9.845629e-01,3.493975e+02,9.756066e-01,2.931559e+03
8.173068e+00,3.250034e+02,3.065348e+00,7.204489e+03
8.964589e+00,1.277661e+02,6.693581e+00,1.422648e+03
7.845124e+00,3.093121e+02,3.454040e+00,5.840894e+03
2.062173e+00,3.780821e+02,3.149974e-01,2.057853e+04
8.410984e+00,1.287877e+02,7.891982e+00,1.141156e+03
1.761546e-01,1.999229e+02,8.899236e+00,3.290135e+01
3.138135e+00,4.063212e+02,9.122139e+00,1.162129e+03
5.038636e+00,3.222974e+02,8.186265e+00,1.649279e+03
5.518640e+00,4.259672e+02,8.675206e-01,2.252882e+04
1.741336e+00,4.383118e+02,7.083870e+00,8.957879e+02
2.719601e+00,4.171710e+02,5.304459e+00,1.778231e+03
4.244110e-01,2.749158e+02,5.790442e+00,1.675269e+02
2.176867e+00,2.123498e+02,1.235908e+00,3.109621e+03
8.981687e+00,3.255810e+02,4.920798e+00,4.940734e+03
9.222111e-01,1.080312e+02,6.421566e+00,1.289878e+02
9.743962e+00,4.264167e+02,4.463433e+00,7.739462e+03
6.744059e+00,2.345779e+02,3.636905e-01,3.616483e+04
6.018221e+00,2.179820e+02,6.371847e+00,1.711723e+03
1.331955e+00,1.054816e+02,2.643469e-01,4.418776e+03
3.035022e+00,4.821938e+02,8.188148e+00,1.485962e+03
1.726374e+00,1.404185e+02,8.566355e+00,2.352736e+02
3.159053e+00,2.629878e+02,8.594571e+00,8.036710e+02
1.969832e+00,2.588545e+02,5.439325e-01,7.793813e+03
4.384592e+00,3.990271e+02,6.074879e+00,2.394440e+03
8.268364e-01,4.714644e+02,9.661817e-01,3.354437e+03
5.706109e+00,2.696349e+02,9.063659e+00,1.411310e+03
6.829087e-01,4.685188e+02,5.723997e+00,4.647296e+02
6.548286e+00,1.387678e+02,5.467702e-01,1.381724e+04
2.125644e+00,2.785242e+02,3.905098e+00,1.260467e+03
1.372252e+00,2.713698e+02,1.048838e+00,2.951870e+03
2.213271e+00,1.315669e+02,3.505988e+00,6.905273e+02
5.955395e+00,3.714812e+02,2.688836e+00,6.840582e+03
6.378601e+00,4.082615e+02,5.121091e+00,4.227771e+03
9.264871e+00,3.297400e+02,4.800493e+00,5.290969e+03
1.186524e+00,2.564015e+02,2.743263e+00,9.220186e+02
3.564868e+00,3.663247e+02,3.319863e+00,3.270390e+03
7.271164e+00,2.535097e+02,3.334090e+00,4.596541e+03
5.436712e+00,1.123640e+02,4.897890e-01,1.036966e+04
3.766507e+00,1.368984e+02,9.686370e+00,4.425742e+02
8.081967e+00,3.978159e+02,9.095496e+00,2.938887e+03
7.976512e+00,2.646799e+02,6.168645e-01,2.845472e+04
6.233686e+00,4.624138e+02,3.482641e+00,6.881403e+03
2.734599e-01,1.682429e+02,1.761367e+00,2.171655e+02
7.346261e+00,4.660614e+02,1.564483e+00,1.819486e+04
1.026023e+00,2.345726e+02,6.685651e+00,2.992958e+02
8.835416e+00,4.665840e+02,6.080023e+00,5.637177e+03
2.457320e+00,2.160110e+02,4.056165e+00,1.088007e+03
5.417394e+00,2.195023e+02,9.385414e+00,1.053382e+03
8.302155e+00,1.580798e+02,8.097776e-01,1.347446e+04
1.657511e+00,1.551954e+02,4.123716e+00,5.186287e+02
5.696223e+00,4.577390e+02,8.382425e+00,2.586100e+03
1.256717e+00,2.282726e+02,6.591376e+00,3.618472e+02
2.827401e+00,2.426174e+02,6.987137e-01,8.162443e+03
4.425379e+00,3.597850e+02,6.708297e+00,1.973291e+03
3.001898e-01,1.715332e+02,6.457633e+00,6.629499e+01
3.206822e+00,2.237397e+02,6.920049e+00,8.620227e+02
8.939334e+00,3.707170e+02,8.261990e+00,3.334825e+03
2.052633e+00,2.242327e+02,2.513349e+00,1.522536e+03
4.999671e+00,3.565575e+02,3.337918e+00,4.440230e+03
3.270156e+00,1.717355e+02,3.307716e+00,1.411596e+03
7.420772e-01,1.763469e+02,5.820110e+00,1.869372e+02
5.800639e+00,4.235624e+02,3.201962e+00,6.379507e+03
3.893308e+00,3.620099e+02,3.835466e+00,3.055140e+03
8.471521e+00,1.159103e+02,6.151758e+00,1.327071e+03
5.617518e+00,3.267207e+02,7.149809e+00,2.134208e+03
1.605808e+00,4.208749e+02,3.339283e+00,1.682687e+03
8.483830e+00,4.625519e+02,3.716649e+00,8.778310e+03
7.674705e+00,1.633096e+02,6.560592e+00,1.588329e+03
2.381903e+00,1.998771e+02,4.473999e-01,8.847107e+03
6.923795e+00,1.324335e+02,1.463646e+00,5.208541e+03
7.193410e+00,3.249597e+02,2.157419e+00,9.008235e+03
3.932398e-01,1.127384e+02,4.679065e+00,7.877351e+01
5.098186e+00,3.727370e+02,8.714824e+00,1.812882e+03
2.338434e+00,4.378885e+02,5.498453e+00,1.548311e+03
8.357307e+00,4.365095e+02,7.932934e+00,3.823282e+03
6.395538e+00,2.741113e+02,9.126843e+00,1.596958e+03
8.608797e+00,1.121010e+02,4.200302e+00,1.910212e+03
8.125057e+00,4.783352e+02,2.730915e+00,1.183207e+04
1.462500e+00,2.799139e+02,3.843342e+00,8.855670e+02
3.799795e+00,1.050387e+02,5.229756e+00,6.345095e+02
7.566821e+00,1.618154e+02,7.931655e+00,1.283452e+03
7.074534e+00,1.480829e+02,6.298651e+00,1.382819e+03
7.424482e+00,3.476337e+02,3.174468e+00,6.759696e+03
5.915111e+00,4.924439e+02,7.780491e+00,3.112596e+03
2.136835e+00,2.723778e+02,5.666695e+00,8.539312e+02
5.734319e+00,2.701947e+02,4.513646e+00,2.853917e+03
1.115669e+00,1.768917e+02,9.004008e+00,1.822288e+02
2.819102e+00,3.273569e+02,8.379955e+00,9.155892e+02
2.227432e-01,2.309159e+02,9.713230e+00,4.402553e+01
9.477590e+00,2.937714e+02,8.741396e+00,2.648114e+03
4.741134e-01,3.492653e+02,4.253159e-01,3.236951e+03
7.138568e+00,4.277535e+02,3.772435e+00,6.729657e+03
2.006494e+00,4.730302e+02,9.525057e+00,8.284554e+02
5.656280e+00,3.476384e+02,6.574659e+00,2.486540e+03
4.742672e+00,4.194555e+02,7.611449e+00,2.172960e+03
6.804648e+00,4.356095e+02,1.349217e-01,1.826549e+05
7.098563e+00,3.617525e+02,1.509804e+00,1.414072e+04
5.040167e+00,3.529826e+02,9.328806e+00,1.585558e+03
5.006443e+00,1.516933e+02,1.459757e+00,4.325386e+03
1.128896e-01,1.349284e+02,5.767222e+00,2.195840e+01
3.615227e+00,1.414159e+02,7.121106e+00,5.968927e+02
2.522122e+00,3.333664e+02,9.462952e+00,7.387056e+02
3.044610e+00,4.736858e+02,3.401590e-01,3.524927e+04
6.368300e+00,3.214004e+02,6.717595e+00,2.533181e+03
9.340516e+00,4.520007e+02,4.407587e+00,7.963777e+03
2.047272e+00,1.791784e+02,8.068669e-01,3.779805e+03
9.355825e+00,4.483802e+02,5.921097e+00,5.890286e+03
5.180912e+00,4.287465e+02,8.367079e+00,2.207207e+03
6.566696e+00,2.641980e+02,3.379916e-01,4.267570e+04
7.616465e+00,2.143497e+02,4.421427e+00,3.069898e+03
8.477141e+00,3.599735e+02,1.207391e+00,2.101271e+04
6.285303e+00,1.635333e+02,5.732772e-01,1.490658e+04
3.292243e+00,2.390086e+02,7.344137e+00,8.907886e+02
4.989190e+00,4.251970e+02,2.800924e+00,6.296933e+03
4.625184e+00,1.545671e+02,2.505538e+00,2.372220e+03
4.559302e+00,3.721107e+02,8.498399e+00,1.659753e+03
2.704106e+00,3.193536e+02,7.185646e+00,9.991707e+02
9.026378e+00,2.899515e+02,4.263933e+00,5.103153e+03
5.199193e+00,3.105717e+02,7.644486e+00,1.756142e+03
6.722191e+00,1.343355e+02,8.421331e+00,8.915199e+02
5.789143e+00,4.167630e+02,7.774886e+00,2.579998e+03
1.105263e+00,4.498547e+02,9.754995e+00,4.237610e+02
