lambda,t,N
4.300629e-01,7.927291e+00,3.306651e+04
4.013167e-01,7.070585e+00,5.856937e+04
5.718089e-01,9.097131e+00,5.506530e+03
8.628719e-01,4.247020e+00,2.561354e+04
2.111978e-02,8.545204e+00,8.348753e+05
9.069328e-01,9.149113e+00,2.491063e+02
1.166508e-01,4.156709e+00,6.157690e+05
5.293686e-01,2.703262e+00,2.390645e+05
2.906944e-01,7.716173e+00,1.061345e+05
4.734104e-01,6.973612e-01,7.188245e+05
2.252192e-01,1.561104e+00,7.035682e+05
6.394952e-01,3.834394e-02,9.757774e+05
1.118293e-01,2.732913e+00,7.366667e+05
4.187903e-01,6.873572e+00,5.621421e+04
8.322265e-01,5.775080e+00,8.179089e+03
5.374345e-01,4.012092e+00,1.157599e+05
9.967155e-01,4.884608e+00,7.684392e+03
3.146886e-01,7.073608e+00,1.079611e+05
9.901383e-01,1.322839e+00,2.698758e+05
6.843132e-01,5.469616e+00,2.368461e+04
7.993085e-01,6.773105e+00,4.454680e+03
6.726369e-01,4.112458e-01,7.583433e+05
3.333065e-01,6.357330e+00,1.201590e+05
7.004124e-01,6.355669e-01,6.407224e+05
1.452575e-01,2.840577e+00,6.619170e+05
9.035431e-01,7.590273e+00,1.050868e+03
9.031878e-01,6.049150e+00,4.238617e+03
7.842974e-01,5.563040e+00,1.273912e+04
7.679061e-02,4.409689e+00,7.127513e+05
8.902439e-01,8.447930e-01,4.713889e+05
3.792310e-01,8.890963e+00,3.433022e+04
3.345187e-01,9.428087e+00,4.268656e+04
1.420278e-01,6.895932e+00,3.755310e+05
2.963220e-01,4.462622e+00,2.665021e+05
8.013334e-01,1.793119e+00,2.376667e+05
1.824134e-02,6.528461e+00,8.877298e+05
7.548110e-01,9.698776e+00,6.616706e+02
4.990836e-01,2.724171e+00,2.567662e+05
8.707889e-01,5.617838e+00,7.506762e+03
2.566932e-01,1.735741e+00,6.404701e+05
7.306813e-01,3.230699e+00,9.436249e+04
6.166204e-01,1.079933e+00,5.138065e+05
9.461477e-01,7.529098e+00,8.058288e+02
3.306300e-01,7.810604e+00,7.559082e+04
2.298409e-01,5.427165e-01,8.827277e+05
5.916008e-01,1.857102e-01,8.959539e+05
8.975146e-01,5.237515e+00,9.088493e+03
5.490893e-01,6.861815e+00,2.310401e+04
5.711565e-01,3.016949e+00,1.785029e+05
3.741057e-01,1.722891e+00,5.249022e+05
3.236622e-01,2.927150e+00,3.877448e+05
5.639900e-02,3.998465e+00,7.981095e+05
3.872463e-01,3.692350e-01,8.667671e+05
4.904578e-01,3.740098e+00,1.597156e+05
4.240123e-01,8.458822e+00,2.769109e+04
8.943288e-01,3.212203e-01,7.503042e+05
1.720495e-01,1.575641e+00,7.625493e+05
5.767776e-01,3.465692e+00,1.354797e+05
9.909294e-01,1.716940e+00,1.824341e+05
4.234759e-01,4.949395e+00,1.229534e+05
8.093932e-01,1.424488e+00,3.156976e+05
6.077037e-01,3.966609e+00,8.976830e+04
1.374099e-01,2.495684e+00,7.096866e+05
4.778232e-01,7.288780e+00,3.072286e+04
2.330588e-01,9.128712e+00,1.191316e+05
8.332620e-01,1.735274e+00,2.355251e+05
9.842058e-01,2.737883e+00,6.756667e+04
7.348696e-01,2.268536e+00,1.887978e+05
7.745013e-01,9.129499e-01,4.930815e+05
5.188371e-01,1.315891e+00,5.052344e+05
3.872137e-01,5.731003e+00,1.087044e+05
3.026076e-01,2.847601e+00,4.224409e+05
6.391378e-02,3.478194e+00,8.006715e+05
6.912573e-01,4.977127e+00,3.204944e+04
2.550576e-01,8.760934e+00,1.070410e+05
4.984791e-01,1.633188e+00,4.430335e+05
3.264402e-01,5.853854e+00,1.479422e+05
6.722900e-01,2.220500e+00,2.247381e+05
8.682532e-02,6.061699e+00,5.907815e+05
3.213046e-01,9.077752e+00,5.411069e+04
4.477507e-01,3.903138e+00,1.741858e+05
5.352644e-01,6.184804e-01,7.181689e+05
7.164263e-01,2.682189e+00,1.463740e+05
5.075007e-01,5.959312e+00,4.858915e+04
3.501780e-01,8.381433e+00,5.313109e+04
8.604775e-01,2.821730e+00,8.821000e+04
4.943916e-01,4.132825e+00,1.296089e+05
9.388357e-01,5.905620e+00,3.909261e+03
5.283980e-01,6.958078e+00,2.530801e+04
6.049794e-01,9.016117e+00,4.276737e+03
2.304391e-02,7.212964e+00,8.468642e+05
5.944434e-01,3.663985e+00,1.132643e+05
8.787054e-01,8.266542e+00,7.004028e+02
5.234536e-01,4.179539e+00,1.121638e+05
5.056486e-02,1.110535e+00,9.453935e+05
3.438557e-01,2.603627e+00,4.084965e+05
9.013324e-01,8.894727e+00,3.297733e+02
7.331795e-01,4.522405e+00,3.630736e+04
3.064281e-01,5.319107e+00,1.959445e+05
3.894113e-01,8.119912e+00,4.234158e+04
3.999591e-01,5.103776e+00,1.298596e+05
4.250453e-01,3.762503e+00,2.020512e+05
2.859338e-01,4.339123e+00,2.891811e+05
8.744842e-01,3.188406e-01,7.566753e+05
2.656709e-02,8.625740e+00,7.952007e+05
1.581211e-01,2.692118e+00,6.533250e+05
6.476756e-02,5.847337e+00,6.847389e+05
5.665180e-01,6.580487e+00,2.404173e+04
1.323831e-01,2.880219e+00,6.829781e+05
3.187614e-01,7.658334e+00,8.705794e+04
8.435012e-01,6.002022e+00,6.328371e+03
5.405940e-01,5.548230e+00,4.981996e+04
9.727607e-01,6.575251e+00,1.667973e+03
1.421852e-01,3.388364e+00,6.176860e+05
2.776216e-01,8.013706e+00,1.080914e+05
8.424185e-01,4.654735e+00,1.981661e+04
4.857521e-01,3.269207e+00,2.043289e+05
5.286384e-01,4.352088e+00,1.001906e+05
2.551137e-02,5.921061e+00,8.598010e+05
5.570097e-01,5.019556e-01,7.560905e+05
3.859845e-01,7.283260e+00,6.013126e+04
5.535669e-01,6.125216e+00,3.368452e+04
6.652977e-01,2.907435e+00,1.445240e+05
5.575887e-02,5.766705e+00,7.250280e+05
3.683193e-01,3.972373e+00,2.315171e+05
7.300777e-01,2.494326e+00,1.618554e+05
6.738461e-01,7.661146e+00,5.727747e+03
3.783729e-02,3.757868e+00,8.674586e+05
3.467443e-01,5.420064e+00,1.526853e+05
8.905339e-01,2.870061e+00,7.762339e+04
1.741846e-01,9.787295e+00,1.818094e+05
4.741017e-01,1.235283e+00,5.567439e+05
5.747603e-01,1.157077e+00,5.142521e+05
1.593589e-01,4.033112e+00,5.258642e+05
2.203760e-01,1.441635e+00,7.278198e+05
3.714742e-01,1.671141e+00,5.375219e+05
5.622182e-01,9.151559e-01,5.977891e+05
7.549895e-01,8.936025e+00,1.174861e+03
9.929108e-01,2.600464e+00,7.562042e+04
2.311393e-01,2.019538e+00,6.270088e+05
4.237778e-01,5.307133e-01,7.985925e+05
2.756990e-01,5.253221e+00,2.349675e+05
3.578101e-01,6.273852e+00,1.059437e+05
7.035591e-02,8.874493e+00,5.355971e+05
4.572415e-01,5.502360e+00,8.078956e+04
1.045974e-02,3.378470e+00,9.652792e+05
3.103390e-01,4.491282e+00,2.481257e+05
9.510295e-01,9.468660e+00,1.227974e+02
2.044611e-01,3.438757e+00,4.950521e+05
7.678254e-01,7.686115e+00,2.735080e+03
3.667248e-01,6.545017e+00,9.069796e+04
7.842470e-01,3.757499e+00,5.250709e+04
7.846711e-01,3.853085e+00,4.863538e+04
3.953413e-01,1.503670e+00,5.518589e+05
5.410442e-01,1.201064e+00,5.221352e+05
4.708623e-01,5.712752e+00,6.788639e+04
2.098832e-01,1.292666e+00,7.623809e+05
5.957763e-01,3.898146e+00,9.803577e+04
6.832021e-01,9.230668e+00,1.824568e+03
8.792128e-02,8.722689e+00,4.644460e+05
4.493732e-01,9.147472e+00,1.639746e+04
5.634704e-01,8.362716e+00,8.985504e+03
7.476639e-01,4.608394e+00,3.188787e+04
3.103213e-01,3.464362e+00,3.412754e+05
9.538857e-01,5.822533e+00,3.871819e+03
5.296301e-01,5.936068e+00,4.311345e+04
8.928094e-01,2.900742e+00,7.503430e+04
1.183340e-01,2.587640e+00,7.362351e+05
8.446410e-01,7.279839e+00,2.135936e+03
4.385678e-01,7.902996e+00,3.124177e+04
2.476354e-01,8.110895e+00,1.341838e+05
7.827758e-01,4.803616e+00,2.328015e+04
1.743190e-02,3.255004e+00,9.448388e+05
1.129190e-01,1.784576e+00,8.174933e+05
7.115881e-01,5.129993e+00,2.597965e+04
2.647199e-01,6.658724e+00,1.715815e+05
8.613318e-02,9.893621e+00,4.264889e+05
3.485477e-01,4.218629e+00,2.298350e+05
6.736971e-01,8.812345e+00,2.640330e+03
5.478532e-01,8.427997e+00,9.879387e+03
3.354123e-01,9.360095e+00,4.330483e+04
5.173986e-01,6.912082e+00,2.797897e+04
6.331167e-01,9.192896e+00,2.967083e+03
2.295504e-01,2.110201e+00,6.160683e+05
5.412473e-01,6.991948e+00,2.272311e+04
1.515553e-01,8.203198e+00,2.884485e+05
9.696843e-01,8.782120e-01,4.267366e+05
1.489671e-01,3.681931e+00,5.778237e+05
9.726362e-01,5.315940e-01,5.962784e+05
5.639411e-01,2.437574e+00,2.529286e+05
2.657297e-01,4.286142e-03,9.988617e+05
6.000922e-01,3.524719e+00,1.206144e+05
9.426408e-01,8.300654e+00,3.998045e+02
5.992642e-01,7.141093e+00,1.385095e+04
3.382062e-01,9.089329e-01,7.353514e+05
8.700087e-01,4.088893e+00,2.851363e+04
7.063274e-01,8.616894e+00,2.273697e+03
6.603374e-01,1.461572e+00,3.809335e+05
4.351402e-01,7.560576e+00,3.725719e+04
7.977552e-01,9.128212e+00,6.877548e+02
3.861443e-01,3.680701e+00,2.414043e+05
4.693434e-01,7.902264e+00,2.450507e+04
4.390049e-01,6.208563e+00,6.550757e+04
4.981332e-01,2.935500e+00,2.317097e+05
2.365096e-01,3.123524e+00,4.777137e+05
2.969700e-01,3.566391e+00,3.467639e+05
4.902697e-01,9.046511e+00,1.185234e+04
7.601617e-01,8.921830e+00,1.133966e+03
8.774164e-01,8.345487e+00,6.605308e+02
4.680299e-01,6.761111e+00,4.223940e+04
6.926957e-01,1.899549e+00,2.682571e+05
1.730090e-01,8.377443e+00,2.347174e+05
1.388232e-01,3.314836e+00,6.311724e+05
2.975147e-01,9.655274e+00,5.655252e+04
3.404042e-01,5.996666e+00,1.298610e+05
6.567718e-01,9.667909e+00,1.747428e+03
4.581511e-01,7.324595e+00,3.488247e+04
9.486487e-01,7.935873e+00,5.376216e+02
3.562423e-01,5.171943e+00,1.584265e+05
8.842911e-01,4.542400e+00,1.801044e+04
2.229809e-01,4.975898e+00,3.297138e+05
3.832987e-01,5.480212e-01,8.105390e+05
6.620396e-01,2.715210e+00,1.657000e+05
1.874587e-01,7.210458e+00,2.588095e+05
8.730250e-01,9.331764e+00,2.896422e+02
7.853312e-01,4.040923e+00,4.185840e+04
8.848100e-01,5.376212e+00,8.591981e+03
1.377500e-01,7.036091e+00,3.793782e+05
5.944567e-01,6.976355e+00,1.580955e+04
5.384980e-01,9.507823e-01,5.992992e+05
6.728434e-01,4.483552e-01,7.395800e+05
5.928629e-01,2.742342e+00,1.967477e+05
9.555519e-02,4.742266e+00,6.356240e+05
6.289171e-01,1.221880e+00,4.637262e+05
9.498496e-02,8.688441e+00,4.381162e+05
4.829173e-01,1.944869e+00,3.909363e+05
2.971936e-01,1.429232e+00,6.539277e+05
8.682452e-01,8.676066e-01,4.708125e+05
4.554898e-01,1.957839e+00,4.099273e+05
8.168162e-01,4.943714e-01,6.677706e+05
9.968771e-01,1.711986e-01,8.431048e+05
2.888924e-01,2.517102e+00,4.832739e+05
6.896735e-01,9.002157e+00,2.012154e+03
6.657934e-01,1.913757e-01,8.803668e+05
3.708798e-01,8.883156e+00,3.708351e+04
2.551445e-01,8.944964e+00,1.020535e+05
7.649828e-01,3.004691e+00,1.004056e+05
6.965183e-01,4.985116e+00,3.104790e+04
3.305263e-01,8.794317e+00,5.465290e+04
2.380071e-01,2.889945e+00,5.026670e+05
7.638851e-02,6.754910e+00,5.969049e+05
7.465288e-01,4.975830e+00,2.436517e+04
5.978593e-02,5.848048e+00,7.049482e+05
6.333343e-02,7.874614e+00,6.073036e+05
8.280732e-02,6.022409e-01,9.513531e+05
1.263034e-01,3.490842e+00,6.434538e+05
4.417926e-01,5.646540e+00,8.252948e+04
9.642572e-01,7.476636e+00,7.396008e+02
4.303613e-01,2.726821e+00,3.092769e+05
2.092907e-01,9.120964e+00,1.482385e+05
1.065924e-01,9.681390e+00,3.563069e+05
3.754022e-01,9.098376e+00,3.285833e+04
8.982812e-01,7.561105e+00,1.122723e+03
3.687261e-01,4.722656e+00,1.752807e+05
1.248075e-01,7.671588e+00,3.838621e+05
9.536244e-02,4.762345e+00,6.349882e+05
8.850706e-01,9.441091e-01,4.336128e+05
9.452844e-01,3.902488e+00,2.499797e+04
7.133390e-01,1.672722e+00,3.032440e+05
7.732580e-01,1.515332e+00,3.098265e+05
7.804553e-01,1.426625e+00,3.284349e+05
3.197239e-02,6.284073e+00,8.179805e+05
3.277341e-01,8.465502e+00,6.238482e+04
1.136685e-01,6.803868e+00,4.614483e+05
2.199838e-01,1.144485e+00,7.774250e+05
7.286890e-01,2.116583e+00,2.138820e+05
9.210650e-01,8.663928e+00,3.422256e+02
2.598419e-01,1.749001e+00,6.347883e+05
1.154008e-01,2.509432e+00,7.485702e+05
8.043983e-01,5.068749e+00,1.695329e+04
9.664730e-01,9.470489e+00,1.059046e+02
5.142889e-02,7.880223e+00,6.667960e+05
3.370827e-01,8.412487e+00,5.867723e+04
8.050177e-01,9.121217e+00,6.472738e+02
9.628067e-01,1.632873e+00,2.076002e+05
1.642796e-02,5.366280e+00,9.156171e+05
2.313171e-01,7.443020e-01,8.418363e+05
2.616284e-01,6.893153e+00,1.647305e+05
1.890854e-01,4.921285e+00,3.943394e+05
7.581010e-01,6.056758e+00,1.013628e+04
3.839875e-01,9.028535e+00,3.121538e+04
4.616530e-02,2.586951e+00,8.874285e+05
5.269203e-01,2.125603e-01,8.940422e+05
8.867816e-01,8.403248e+00,5.803693e+02
9.410259e-01,2.171928e+00,1.295303e+05
2.566180e-01,8.566565e-02,9.782565e+05
3.826629e-01,5.548136e+00,1.196642e+05
6.686412e-01,6.703228e+00,1.131015e+04
1.408190e-01,4.626625e+00,5.212546e+05
1.635919e-01,3.439069e+00,5.697236e+05
2.683430e-01,7.716950e+00,1.260862e+05
4.098713e-01,8.057774e+00,3.678556e+04
9.480352e-01,9.257652e+00,1.543050e+02
7.978670e-01,7.619433e+00,2.289792e+03
7.023869e-01,1.995319e+00,2.462308e+05
8.943091e-01,2.492361e+00,1.076424e+05
6.858047e-02,7.516867e+00,5.971958e+05
1.849544e-01,1.231700e-01,9.774767e+05
5.546386e-01,1.764506e+00,3.758132e+05
2.080733e-01,9.668935e+00,1.337414e+05
6.012052e-01,3.297590e+00,1.377206e+05
4.745048e-01,8.267192e+00,1.978517e+04
2.131227e-01,7.469155e+00,2.035494e+05
6.393041e-01,1.981061e+00,2.818162e+05
1.489934e-02,9.560108e+00,8.672402e+05
7.680720e-01,6.898088e+00,5.000443e+03
7.715930e-01,2.819136e+00,1.135825e+05
2.325918e-01,2.835115e+00,5.171488e+05
3.358610e-01,7.834126e+00,7.199366e+04
3.430897e-01,2.700208e+00,3.959713e+05
3.371069e-01,7.733974e+00,7.374251e+04
7.031331e-01,6.121205e-02,9.578729e+05
1.302829e-01,9.556161e-01,8.829379e+05
9.154056e-01,3.524624e+00,3.969778e+04
2.956174e-01,8.709143e+00,7.618626e+04
3.039874e-01,1.877863e+00,5.650468e+05
2.870726e-02,5.584201e+00,8.518821e+05
2.620855e-01,6.628108e+00,1.760247e+05
3.537736e-01,8.879855e+00,4.321970e+04
5.447980e-01,5.628278e+00,4.659443e+04
9.471607e-01,1.406455e+00,2.639122e+05
4.160685e-01,9.813930e+00,1.685231e+04
5.352520e-01,8.327566e+00,1.159309e+04
8.471394e-01,7.910713e+00,1.229096e+03
9.041435e-01,5.964650e+00,4.548766e+03
6.006934e-01,8.584772e+00,5.760011e+03
5.137900e-01,1.556031e+00,4.495656e+05
5.959195e-01,5.599343e+00,3.555205e+04
9.729940e-01,2.603792e+00,7.938273e+04
8.659800e-01,4.669990e-01,6.673693e+05
2.910307e-01,6.621780e+00,1.455637e+05
6.953779e-01,1.690513e+00,3.086506e+05
9.943468e-01,2.915612e+00,5.507114e+04
9.067378e-01,3.310057e-01,7.407179e+05
9.119580e-01,5.525475e+00,6.480220e+03
7.328072e-02,6.250650e+00,6.325145e+05
8.035310e-01,9.694640e+00,4.138762e+02
2.743883e-01,1.782262e+00,6.132199e+05
6.272906e-01,3.261250e+00,1.292830e+05
7.702526e-01,8.482070e+00,1.454146e+03
3.050678e-02,2.323066e+00,9.315837e+05
7.423020e-01,6.641348e-01,6.107982e+05
4.585900e-01,5.200946e+00,9.207958e+04
4.755446e-01,9.897023e+00,9.036566e+03
1.822970e-01,3.388364e+00,5.391892e+05
3.070141e-01,7.511407e+00,9.964833e+04
7.428235e-01,2.578321e+00,1.473069e+05
2.162897e-01,6.171439e+00,2.632059e+05
7.590815e-01,6.848925e+00,5.522682e+03
4.358228e-01,2.431222e+00,3.466006e+05
8.404669e-01,1.910466e+00,2.007523e+05
3.902398e-01,3.632032e+00,2.423522e+05
1.669110e-01,7.796232e+00,2.721840e+05
6.077131e-01,4.861295e+00,5.211658e+04
4.238516e-01,9.953133e+00,1.471849e+04
3.864757e-01,3.346470e+00,2.743559e+05
5.566655e-01,8.563976e+00,8.503561e+03
5.715840e-02,6.195912e+00,7.017708e+05
3.619182e-01,7.578583e+00,6.438805e+04
4.533272e-02,2.545669e+00,8.910078e+05
1.500005e-01,4.024826e+00,5.467707e+05
3.178682e-01,6.570056e+00,1.238837e+05
1.364626e-01,8.720767e-01,8.878026e+05
6.574091e-01,4.147212e+00,6.545355e+04
8.586224e-01,7.398305e+00,1.742646e+03
4.207406e-01,3.971453e+00,1.880680e+05
8.257738e-01,8.692642e+00,7.630737e+02
8.382922e-01,1.165140e+00,3.765411e+05
4.260640e-01,3.350200e+00,2.399320e+05
3.635987e-01,3.233870e+00,3.085625e+05
3.673748e-01,1.321400e-01,9.526146e+05
4.763394e-01,9.145455e+00,1.282523e+04
7.542219e-01,2.209651e+00,1.888945e+05
5.000376e-02,5.745034e+00,7.503067e+05
8.090539e-01,5.252741e+00,1.426779e+04
6.257155e-01,8.058515e+00,6.458632e+03
2.214196e-02,5.461233e+00,8.861027e+05
5.423507e-01,1.266897e+00,5.030314e+05
